judge_round_id,judge_id,round_id,replicate_index,independence_unit,assignment_batch_id,model_temperature,model_top_p,model_seed,system_prompt_id,user_prompt_id,context_policy,adjudication_eligible,started_date,completed_date,notes
jr_codex_initial_round_001,ai_codex_initial,round_pilot_seed_001,1,single_session_seed,pilot_all_16,session_default,session_default,,session_default,prompt_pilot_seed_001,project_context_visible,false,2026-06-19,2026-06-19,"Seed round; useful as prior/workbench output, not as independent blinded evidence."
jr_v03_calibration_r1,ai_v03_replicate_template,round_calibration_v03_001,1,independent_blind_replicate,calibration_C01_C10,TBD,TBD,,prompt_v03_paradigm_marker_001,prompt_v03_paradigm_marker_001,rubric_and_packet_only,false,,,"TEMPLATE - clone per real model; score the 10 synthetic items, then run check_calibration.py."
jr_v03_blind_r1,ai_v03_replicate_template,round_v03_blind_001,1,independent_blind_replicate,v03_blind_batch_001,TBD,TBD,,prompt_v03_paradigm_marker_001,prompt_v03_paradigm_marker_001,rubric_and_packet_only,true,,,TEMPLATE replicate 1 - clone per real model; score only after calibration passes.
jr_v03_blind_r2,ai_v03_replicate_template,round_v03_blind_001,2,independent_blind_replicate,v03_blind_batch_001,TBD,TBD,,prompt_v03_paradigm_marker_001,prompt_v03_paradigm_marker_001,rubric_and_packet_only,true,,,TEMPLATE replicate 2.
jr_v03_blind_r3,ai_v03_replicate_template,round_v03_blind_001,3,independent_blind_replicate,v03_blind_batch_001,TBD,TBD,,prompt_v03_paradigm_marker_001,prompt_v03_paradigm_marker_001,rubric_and_packet_only,true,,,TEMPLATE replicate 3.
jr_independent_cal_001,ai_independent_subagent_v03,round_calibration_v03_001,1,independent_blind_replicate,calibration_C01_C10,default,default,,prompt_v03_paradigm_marker_001,prompt_v03_paradigm_marker_001,rubric_and_snippets_only,true,2026-06-20,2026-06-20,Blind to the answer key and trap labels.
jr_v03_blind_P0013,ai_blind_subagent_v03,round_v03_blind_001,1,independent_blind_instance_per_paper,v03_blind_batch_001,default,default,,prompt_v03_paradigm_marker_001,prompt_v03_paradigm_marker_001,own_blinded_packet_only,true,2026-06-20,2026-06-20,Fresh instance scored only the P0013 blinded packet.
jr_v03_blind_P0015,ai_blind_subagent_v03,round_v03_blind_001,1,independent_blind_instance_per_paper,v03_blind_batch_001,default,default,,prompt_v03_paradigm_marker_001,prompt_v03_paradigm_marker_001,own_blinded_packet_only,true,2026-06-20,2026-06-20,Fresh instance scored only the P0015 blinded packet.
jr_v03_blind_P0010,ai_blind_subagent_v03,round_v03_blind_001,1,independent_blind_instance_per_paper,v03_blind_batch_001,default,default,,prompt_v03_paradigm_marker_001,prompt_v03_paradigm_marker_001,own_blinded_packet_only,true,2026-06-20,2026-06-20,Fresh instance scored only the P0010 blinded packet.
jr_v03_blind_P0014,ai_blind_subagent_v03,round_v03_blind_001,1,independent_blind_instance_per_paper,v03_blind_batch_001,default,default,,prompt_v03_paradigm_marker_001,prompt_v03_paradigm_marker_001,own_blinded_packet_only,true,2026-06-20,2026-06-20,Fresh instance scored only the P0014 blinded packet.
