source,archive_page_type,year,volume,page_url
Cognitive Research: Principles and Implications,openalex_year_slice,2016,,"https://api.openalex.org/works?filter=primary_location.source.id:S3035657644,publication_year:2016"
Cognitive Research: Principles and Implications,openalex_year_slice,2017,,"https://api.openalex.org/works?filter=primary_location.source.id:S3035657644,publication_year:2017"
Cognitive Research: Principles and Implications,openalex_year_slice,2018,,"https://api.openalex.org/works?filter=primary_location.source.id:S3035657644,publication_year:2018"
Cognitive Research: Principles and Implications,openalex_year_slice,2019,,"https://api.openalex.org/works?filter=primary_location.source.id:S3035657644,publication_year:2019"
Cognitive Research: Principles and Implications,openalex_year_slice,2020,,"https://api.openalex.org/works?filter=primary_location.source.id:S3035657644,publication_year:2020"
Cognitive Research: Principles and Implications,openalex_year_slice,2021,,"https://api.openalex.org/works?filter=primary_location.source.id:S3035657644,publication_year:2021"
Cognitive Research: Principles and Implications,openalex_year_slice,2022,,"https://api.openalex.org/works?filter=primary_location.source.id:S3035657644,publication_year:2022"
Cognitive Research: Principles and Implications,openalex_year_slice,2023,,"https://api.openalex.org/works?filter=primary_location.source.id:S3035657644,publication_year:2023"
Cognitive Research: Principles and Implications,openalex_year_slice,2024,,"https://api.openalex.org/works?filter=primary_location.source.id:S3035657644,publication_year:2024"
Cognitive Research: Principles and Implications,openalex_year_slice,2025,,"https://api.openalex.org/works?filter=primary_location.source.id:S3035657644,publication_year:2025"
