rating_id,paper_id,judge_round_id,rubric_version,cp_risky_prediction,cp_risky_prediction_occasion,cp_rival_elimination,cp_rival_elimination_occasion,cp_generative_structure,cp_generative_structure_occasion,cp_counterfactual_intervention,cp_counterfactual_intervention_occasion,cp_assumption_vulnerability,cp_assumption_vulnerability_occasion,si_terminal_certification,si_association_framing,si_accumulation_progress,cp_marker_mean,si_marker_mean,cp_exclusion_rate,total,confidence,reviewed_full_text,blinded_to_field,blinded_to_outcomes,blinded_to_prior_ratings,blinded_to_paper_identity,rationale,created_date
pmr_indep_C01,C01,jr_independent_cal_001,v0.3-pilot,1,1,0,0,0,0,0,0,0,0,4,4,0,1.0,2.667,0.0,,high,true,true,true,true,true,Independent blind replicate.,2026-06-20
pmr_indep_C02,C02,jr_independent_cal_001,v0.3-pilot,4,1,4,1,4,1,1,1,0,0,0,0,0,3.25,0.0,0.0,,high,true,true,true,true,true,Independent blind replicate.,2026-06-20
pmr_indep_C03,C03,jr_independent_cal_001,v0.3-pilot,0,0,0,0,0,0,0,0,0,0,0,3,3,,2.0,,,high,true,true,true,true,true,Independent blind replicate.,2026-06-20
pmr_indep_C04,C04,jr_independent_cal_001,v0.3-pilot,3,1,2,1,2,1,0,0,0,0,3,1,0,2.333,1.333,0.0,,high,true,true,true,true,true,Independent blind replicate.,2026-06-20
pmr_indep_C05,C05,jr_independent_cal_001,v0.3-pilot,0,0,0,0,1,0,0,0,0,0,0,4,0,,1.333,,,high,true,true,true,true,true,Independent blind replicate.,2026-06-20
pmr_indep_C06,C06,jr_independent_cal_001,v0.3-pilot,0,0,0,0,0,0,0,0,1,0,0,0,2,,0.667,,,high,true,true,true,true,true,Independent blind replicate.,2026-06-20
pmr_indep_C07,C07,jr_independent_cal_001,v0.3-pilot,0,0,0,0,1,0,0,0,4,1,1,3,0,4.0,1.333,0.0,,high,true,true,true,true,true,Independent blind replicate.,2026-06-20
pmr_indep_C08,C08,jr_independent_cal_001,v0.3-pilot,0,0,0,0,1,0,1,1,0,0,0,4,0,1.0,1.333,0.0,,high,true,true,true,true,true,Independent blind replicate.,2026-06-20
pmr_indep_C09,C09,jr_independent_cal_001,v0.3-pilot,3,1,3,1,3,1,4,1,0,0,0,0,0,3.25,0.0,0.0,,high,true,true,true,true,true,Independent blind replicate.,2026-06-20
pmr_indep_C10,C10,jr_independent_cal_001,v0.3-pilot,1,1,0,0,0,0,0,0,0,0,4,4,1,1.0,3.0,0.0,,high,true,true,true,true,true,Independent blind replicate.,2026-06-20
pmr_blind_P0013,P0013,jr_v03_blind_P0013,v0.3-pilot,4,1,4,1,3,1,2,1,3,1,0,0,0,3.2,0.0,0.0,,high,true,true,true,true,limited,Independent blind round.,2026-06-20
pmr_blind_P0015,P0015,jr_v03_blind_P0015,v0.3-pilot,2,1,2,1,4,1,0,0,2,1,1,0,0,2.5,0.333,0.0,,high,true,true,true,true,limited,Independent blind round.,2026-06-20
pmr_blind_P0010,P0010,jr_v03_blind_P0010,v0.3-pilot,0,0,0,0,1,0,0,0,1,0,1,4,4,,3.0,,,high,true,true,true,true,limited,Independent blind round.,2026-06-20
pmr_blind_P0014,P0014,jr_v03_blind_P0014,v0.3-pilot,1,0,2,1,1,0,0,0,2,1,4,4,2,2.0,3.333,0.0,,high,true,true,true,true,limited,Independent blind round.,2026-06-20
