paper_id,entity_specification,causal_relation,mechanism,intervention_relevance,invariance,rival_explanations,severe_test,measurement_model,abstraction_discipline,total,coder,confidence,notes
P0004,2,2,2,1,1,1,1,1,2,13,Codex,medium,"Scores the paper as published, not later confirmations."
P0013,2,2,2,2,1,2,2,2,2,17,Codex,high,"Paradigmatic severe test with explicit rival models."
P0002,2,2,1,2,1,1,2,1,2,14,Codex,medium,"Strong intervention; exact molecular mechanism remains partly downstream."
P0008,2,1,1,0,2,2,2,2,2,14,Codex,medium,"High measurement/severe-test commitment, lower intervention/mechanism."
P0015,2,1,1,0,1,0,0,1,2,8,Codex,medium,"Committed abstraction but weak empirical criticism in the paper."
P0016,2,2,2,2,1,1,2,2,2,16,Codex,low,"High score suggests it may not function well as a control."
P0001,2,2,1,2,1,1,1,1,2,13,Codex,medium,"Mechanism is present but not fully closed."
P0005,2,1,1,0,2,1,1,0,2,10,Codex,low,"Theory paper; measurement model not central because it is not empirical."
P0009,2,0,1,1,2,1,2,2,2,13,Codex,medium,"Strong benchmark/measurement abstraction; weak causal mechanism by design."
P0010,2,0,0,0,1,0,0,2,1,6,Codex,medium,"Atlas paper: strong entity/measurement specification, weak causal commitments."
P0012,2,0,0,0,1,0,0,2,1,6,Codex,medium,"Similar atlas profile to P0010."
P0011,2,1,1,0,1,0,0,2,1,8,Codex,medium,"Observational disease atlas with some mechanistic interpretation."
P0007,2,0,0,0,1,0,1,2,1,7,Codex,medium,"Method paper; not primarily a causal abstraction."
P0006,2,1,0,1,1,0,1,2,2,10,Codex,medium,"Perturbational resource gives intervention relevance without full mechanism."
P0003,2,0,0,0,1,0,1,2,1,7,Codex,medium,"Tool/infrastructure paper; score should be interpreted separately."
P0014,2,1,0,0,1,1,1,2,1,9,Codex,medium,"Statistical genetics abstraction with limited intervention relevance."

