paper_id,field,source,inventory_id,era_band,draw_idx,seed,unit_id,unit_year,title,doi,eligible_units,eligible_papers_in_selected_unit,selection_probability,design_weight,pdf_url,pdf_path,text_path,pdf_sha256,text_chars
P0274,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,1,202606200702,plos_computational_biology_2025_v21_i9,2025,Category-specific perceptual learning of robust object recognition modelled using deep neural networks,10.1371/journal.pcbi.1013529,138,98,7.39426205264715e-05,13524,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1013529&type=printable,corpus/pdfs/computational_biology/P0274.pdf,corpus/text/computational_biology/P0274.txt,e66706f2c020fffcdff0fb929c708c7b068f885c752d4c7d52c71eac8983a788,74628
P0275,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,2,202606200702,plos_computational_biology_2022_v18_i10,2022,Separability of Human Motor Memories during reaching adaptation with force cues,10.1371/journal.pcbi.1009966,138,87,8.32916874895885e-05,12006,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1009966&type=printable,corpus/pdfs/computational_biology/P0275.pdf,corpus/text/computational_biology/P0275.txt,9cd9c054943d0e870d62371f713cc7d7670ea37d037f9998abe6ddf50a794b3c,80994
P0276,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,3,202606200702,plos_computational_biology_2015_v11_i2,2015,An Integrated Approach to Reconstructing Genome-Scale Transcriptional Regulatory Networks,10.1371/journal.pcbi.1004103,138,43,0.000168520390967307,5934,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1004103&type=printable,corpus/pdfs/computational_biology/P0276.pdf,corpus/text/computational_biology/P0276.txt,f13edc2befb54b31940544e6e774b4eb55d0cc3fa884632bef5b4872e76cfbfa,123187
P0277,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,4,202606200702,plos_computational_biology_2025_v21_i6,2025,Synthetic method of analogues for emerging infectious disease forecasting,10.1371/journal.pcbi.1013203,138,73,9.9265435775263e-05,10074,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1013203&type=printable,corpus/pdfs/computational_biology/P0277.pdf,corpus/text/computational_biology/P0277.txt,f4e27acd826a152f5c098a135b2230d6ad5165a4eb65295a8ba284fff9322219,59066
P0278,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,5,202606200702,plos_computational_biology_2015_v11_i12,2015,Network-Based Isoform Quantification with RNA-Seq Data for Cancer Transcriptome Analysis,10.1371/journal.pcbi.1004465,138,61,0.000118793062485151,8418,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1004465&type=printable,corpus/pdfs/computational_biology/P0278.pdf,corpus/text/computational_biology/P0278.txt,d59e7ff789070e981e8fe1eb8fadd88b1a6cc41c4c9013f4ea56e27389c034b0,79371
P0279,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,6,202606200702,plos_computational_biology_2018_v14_i3,2018,speaq 2.0: A complete workflow for high-throughput 1D NMR spectra processing and quantification,10.1371/journal.pcbi.1006018,138,57,0.000127129417747267,7866,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1006018&type=printable,corpus/pdfs/computational_biology/P0279.pdf,corpus/text/computational_biology/P0279.txt,0db3c7ae376abbcb862a05087b23bfa2e482c0ccb3992eaafbd8dabfcea080c4,73475
P0280,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,7,202606200702,plos_computational_biology_2017_v13_i2,2017,Insect Bio-inspired Neural Network Provides New Evidence on How Simple Feature Detectors Can Enable Complex Visual Generalization and Stimulus Location Invariance in the Miniature Brain of Honeybees,10.1371/journal.pcbi.1005333,138,46,0.000157529930686831,6348,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1005333&type=printable,corpus/pdfs/computational_biology/P0280.pdf,corpus/text/computational_biology/P0280.txt,2cafc82e2ac3b3c03badf70953bf4c94fc6c9cee3af106e4e96deb08b0422591,90403
P0281,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,8,202606200702,plos_computational_biology_2019_v15_i12,2019,Large benefits to youth-focused HIV treatment-as-prevention efforts in generalized heterosexual populations: An agent-based simulation model,10.1371/journal.pcbi.1007561,138,45,0.000161030595813205,6210,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1007561&type=printable,corpus/pdfs/computational_biology/P0281.pdf,corpus/text/computational_biology/P0281.txt,a6c1c31058f192c766fb80984f27af5e1b98f857bea55be9abec51dbf1242917,98761
P0282,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,9,202606200702,plos_computational_biology_2015_v11_i8,2015,Curation of the Mammalian Palmitoylome Indicates a Pivotal Role for Palmitoylation in Diseases and Disorders of the Nervous System and Cancers,10.1371/journal.pcbi.1004405,138,52,0.000139353400222965,7176,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1004405&type=printable,corpus/pdfs/computational_biology/P0282.pdf,corpus/text/computational_biology/P0282.txt,31afce978b39be6f6499027967bb3b5df9654b3b3189a6916c1d225ea72715c4,67562
P0283,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,10,202606200702,plos_computational_biology_2016_v12_i5,2016,Benchmarking Inverse Statistical Approaches for Protein Structure and Design with Exactly Solvable Models,10.1371/journal.pcbi.1004889,138,43,0.000168520390967307,5934,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1004889&type=printable,corpus/pdfs/computational_biology/P0283.pdf,corpus/text/computational_biology/P0283.txt,937594d6a5123273ce6785784c4f403d92fd008b823a0a781d1fba98b2644ed0,61454
