classification_rating_id,paper_id,judge_round_id,rubric_version,primary_classification,secondary_classifications,confidence,reviewed_full_text,blinded_to_field,blinded_to_outcomes,blinded_to_prior_ratings,rationale,created_date
cr_codex_seed_0001,P0004,jr_codex_initial_round_001,v0.1-pilot,Causal mechanism,Descriptive ontology,medium,false,false,true,true,Structural model proposed as an explanatory abstraction; no direct experiment in the short paper.,2026-06-19
cr_codex_seed_0002,P0013,jr_codex_initial_round_001,v0.1-pilot,Severe test of a theory,Causal mechanism; Intervention result,high,false,false,true,true,Experiment directly distinguishes semiconservative replication from rival replication models.,2026-06-19
cr_codex_seed_0003,P0002,jr_codex_initial_round_001,v0.1-pilot,Intervention result,Causal mechanism; Severe test of a theory,medium,false,false,true,true,Double-stranded RNA manipulation is central; mechanism partly specified but not fully developed.,2026-06-19
cr_codex_seed_0004,P0008,jr_codex_initial_round_001,v0.1-pilot,Descriptive ontology,Severe test of a theory,medium,false,false,true,true,Identifies quasiperiodic order from diffraction evidence; mechanism of formation is less central.,2026-06-19
cr_codex_seed_0005,P0015,jr_codex_initial_round_001,v0.1-pilot,Descriptive ontology,Causal mechanism,medium,false,false,true,true,A high-commitment structural conjecture that is useful as a failed-abstraction comparator.,2026-06-19
cr_codex_seed_0006,P0016,jr_codex_initial_round_001,v0.1-pilot,Intervention result,Severe test of a theory; Causal mechanism,low,false,false,true,true,May be too progress-like to serve as a control; retained to force matching-rule review.,2026-06-19
cr_codex_seed_0007,P0001,jr_codex_initial_round_001,v0.1-pilot,Causal mechanism,Intervention result,medium,false,false,true,true,Genetic perturbation and localization are central; mechanistic abstraction is biologically grounded.,2026-06-19
cr_codex_seed_0008,P0005,jr_codex_initial_round_001,v0.1-pilot,Descriptive ontology,Causal mechanism,low,false,false,true,true,May be a theoretical companion/uptake paper rather than a true control.,2026-06-19
cr_codex_seed_0009,P0009,jr_codex_initial_round_001,v0.1-pilot,Tool or infrastructure,Statistical regularity,high,false,false,true,true,Prediction benchmark and reusable computational system; causal biological mechanism is not the central contribution.,2026-06-19
cr_codex_seed_0010,P0010,jr_codex_initial_round_001,v0.1-pilot,Descriptive ontology,Statistical regularity; Tool or infrastructure,high,false,false,true,true,Atlas/taxonomy of human cell types across organs.,2026-06-19
cr_codex_seed_0011,P0012,jr_codex_initial_round_001,v0.1-pilot,Descriptive ontology,Statistical regularity; Tool or infrastructure,high,false,false,true,true,Atlas/taxonomy of mouse organs at single-cell resolution.,2026-06-19
cr_codex_seed_0012,P0011,jr_codex_initial_round_001,v0.1-pilot,Descriptive ontology,Statistical regularity,medium,false,false,true,true,Disease-state single-cell atlas with observational immune patterns.,2026-06-19
cr_codex_seed_0013,P0007,jr_codex_initial_round_001,v0.1-pilot,Tool or infrastructure,Statistical regularity,high,false,false,true,true,Method for interpreting expression signatures through gene sets.,2026-06-19
cr_codex_seed_0014,P0006,jr_codex_initial_round_001,v0.1-pilot,Tool or infrastructure,Statistical regularity; Intervention result,medium,false,false,true,true,Signature-matching resource built from perturbational expression profiles.,2026-06-19
cr_codex_seed_0015,P0003,jr_codex_initial_round_001,v0.1-pilot,Tool or infrastructure,Descriptive ontology,high,false,false,true,true,Experimental/computational platform enabling single-cell expression profiling.,2026-06-19
cr_codex_seed_0016,P0014,jr_codex_initial_round_001,v0.1-pilot,Statistical regularity,Tool or infrastructure,high,false,false,true,true,Statistical genetics method for partitioning heritability by annotation.,2026-06-19
