paper_id,citation_durability,independent_lab_uptake,mechanistic_uptake,intervention_uptake,ontological_uptake,review_integration,clinical_or_engineering_consequence,replication_or_transport,disruptiveness,outcome_measurement_status,outcome_notes
P0004,,,,,,,,,not_measured,"Outcome dimensions intentionally deferred to a bibliometric/content-analysis workflow; OpenAlex citation count is in papers.csv."
P0013,,,,,,,,,not_measured,"Likely high on review integration and mechanistic uptake, but should be measured rather than assumed."
P0002,,,,,,,,,not_measured,"Likely high on intervention uptake; requires systematic downstream citation coding."
P0008,,,,,,,,,not_measured,"Likely high on ontological uptake/disruptiveness; requires citation-network measurement."
P0015,,,,,,,,,not_measured,"Useful negative comparator; outcome coding should distinguish citation as historical error from durable uptake."
P0016,,,,,,,,,not_measured,"May be progress-like rather than control; outcome workflow can help diagnose."
P0001,,,,,,,,,not_measured,"Needs downstream uptake coding in polarity/developmental biology literature."
P0005,,,,,,,,,not_measured,"May represent theoretical uptake of P0008 rather than an independent control."
P0009,,,,,,,,,not_mature,"Recent but already highly cited; outcome maturity window needs special handling."
P0010,,,,,,,,,not_mature,"Recent atlas; outcome dimensions need a shorter-window coding plan."
P0012,,,,,,,,,partially_mature,"Enough time for early uptake, but not a full 10-year window."
P0011,,,,,,,,,not_mature,"COVID-specific context may inflate citations; transport and mechanistic uptake need separate coding."
P0007,,,,,,,,,measurable,"Older computational biology method; ready for outcome coding."
P0006,,,,,,,,,measurable,"Older resource paper; ready for outcome coding."
P0003,,,,,,,,,measurable,"Method/platform paper; evaluate as infrastructure-enabling causal tests."
P0014,,,,,,,,,measurable,"Older statistical genetics method; ready for outcome coding."

