field,era_band,venue_tier,source,source_inventory_id,planned_additions,reason
Cognitive science / psychology,2015-present_completed_years_2015-2025,specialist,Behavior Research Methods,behavior_research_methods_openalex_cognitive_psychology_v1.0.0_2015-2025_20260621,10,Underfilled field; new scheduled specialist source block with neutral Cognitive psychology concept filter.
Cognitive science / psychology,2015-present_completed_years_2018-2025,specialist,Computational Brain & Behavior,computational_brain_behavior_openalex_cognitive_psychology_v1.0.0_2018-2025_20260621,10,Underfilled field; new scheduled specialist source block with neutral Cognitive psychology concept filter.
ML / AI methods proper,2015-present_completed_years_2015-2025,top,Journal of Machine Learning Research,jmlr_openalex_machine_learning_v1.0.0_2015-2025_20260621,10,Underrepresented field; new open archival journal source block with neutral Machine learning concept filter.
ML / AI methods proper,2015-present_completed_years_2015-2025,top,International Conference on Learning Representations,iclr_openalex_machine_learning_v1.0.0_2015-2025_20260621,10,Underrepresented field; new open proceedings source block with neutral Machine learning concept filter.
Mechanistic molecular / cell / developmental biology,2005-2014_completed_years_2005-2014,mid,PLOS Biology,plos_biology_openalex_cell_biology_v1.0.0_2005-2014_20260621,10,Underrepresented field and era; new born-OA mid/top biology source block with neutral Cell biology concept filter.
Mechanistic molecular / cell / developmental biology,2015-present_completed_years_2015-2025,mid,PLOS Biology,plos_biology_openalex_cell_biology_v1.0.0_2015-2025_20260621,10,Underrepresented field; new born-OA mid/top biology source block with neutral Cell biology concept filter.
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",2005-2014_completed_years_2005-2014,specialist,Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,10,Already scheduled underfilled historical source block; use publisher-page attempt then arXiv OA alternates when IOP blocks direct PDF.
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",2015-present_completed_years_2015-2025,top,Astronomy and Astrophysics,astronomy_astrophysics_openalex_cosmology_v1.0.0_2015-2025_20260621,10,Underrepresented field; new top astronomy/cosmology source block with neutral Cosmology concept filter.
Structure-driven condensed matter / chemistry,2005-2014_completed_years_2011-2014,top,Physical Review X,physical_review_x_openalex_v1.0.1_through2025_20260620,10,Already scheduled underfilled historical source block; use publisher-page attempt then arXiv OA alternates when APS blocks direct PDF.
Structure-driven condensed matter / chemistry,2015-present_completed_years_2015-2025,top,Physical Review X,physical_review_x_openalex_v1.0.1_through2025_20260620,5,Complete the already scheduled underfilled current PRX source block to the 10-paper working target.
Structure-driven condensed matter / chemistry,2015-present_completed_years_2015-2025,specialist,npj Computational Materials,npj_computational_materials_openalex_condensed_matter_v1.0.0_2015-2025_20260621,5,Underrepresented field; partially open a gold computational-materials source block to keep the exact 100-paper batch size after Chemical Science low-text failure.
