aggregate_id,paper_id,instrument,dimension,aggregation_set_id,rubric_version,n_ratings,n_distinct_judges,n_human_judges,n_ai_judges,n_ai_models,n_ai_replicates,mean,median,sd,min,max,aggregation_policy,adjudicated_value,adjudication_status,notes
agg_calibration_v03:C01:paradigm_marker:cp_assumption_vulnerability,C01,paradigm_marker,cp_assumption_vulnerability,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C01:paradigm_marker:cp_counterfactual_intervention,C01,paradigm_marker,cp_counterfactual_intervention,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C01:paradigm_marker:cp_exclusion_rate,C01,paradigm_marker,cp_exclusion_rate,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C01:paradigm_marker:cp_generative_structure,C01,paradigm_marker,cp_generative_structure,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C01:paradigm_marker:cp_marker_mean,C01,paradigm_marker,cp_marker_mean,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,1,1,,1,1,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C01:paradigm_marker:cp_risky_prediction,C01,paradigm_marker,cp_risky_prediction,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,1,1,,1,1,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C01:paradigm_marker:cp_rival_elimination,C01,paradigm_marker,cp_rival_elimination,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C01:paradigm_marker:si_accumulation_progress,C01,paradigm_marker,si_accumulation_progress,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C01:paradigm_marker:si_association_framing,C01,paradigm_marker,si_association_framing,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,4,4,,4,4,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C01:paradigm_marker:si_marker_mean,C01,paradigm_marker,si_marker_mean,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,2.667,2.667,,2.667,2.667,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C01:paradigm_marker:si_terminal_certification,C01,paradigm_marker,si_terminal_certification,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,4,4,,4,4,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C02:paradigm_marker:cp_assumption_vulnerability,C02,paradigm_marker,cp_assumption_vulnerability,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C02:paradigm_marker:cp_counterfactual_intervention,C02,paradigm_marker,cp_counterfactual_intervention,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,1,1,,1,1,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C02:paradigm_marker:cp_exclusion_rate,C02,paradigm_marker,cp_exclusion_rate,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C02:paradigm_marker:cp_generative_structure,C02,paradigm_marker,cp_generative_structure,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,4,4,,4,4,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C02:paradigm_marker:cp_marker_mean,C02,paradigm_marker,cp_marker_mean,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,3.25,3.25,,3.25,3.25,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C02:paradigm_marker:cp_risky_prediction,C02,paradigm_marker,cp_risky_prediction,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,4,4,,4,4,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C02:paradigm_marker:cp_rival_elimination,C02,paradigm_marker,cp_rival_elimination,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,4,4,,4,4,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C02:paradigm_marker:si_accumulation_progress,C02,paradigm_marker,si_accumulation_progress,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C02:paradigm_marker:si_association_framing,C02,paradigm_marker,si_association_framing,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C02:paradigm_marker:si_marker_mean,C02,paradigm_marker,si_marker_mean,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C02:paradigm_marker:si_terminal_certification,C02,paradigm_marker,si_terminal_certification,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C03:paradigm_marker:cp_assumption_vulnerability,C03,paradigm_marker,cp_assumption_vulnerability,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C03:paradigm_marker:cp_counterfactual_intervention,C03,paradigm_marker,cp_counterfactual_intervention,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C03:paradigm_marker:cp_generative_structure,C03,paradigm_marker,cp_generative_structure,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C03:paradigm_marker:cp_risky_prediction,C03,paradigm_marker,cp_risky_prediction,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C03:paradigm_marker:cp_rival_elimination,C03,paradigm_marker,cp_rival_elimination,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C03:paradigm_marker:si_accumulation_progress,C03,paradigm_marker,si_accumulation_progress,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,3,3,,3,3,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C03:paradigm_marker:si_association_framing,C03,paradigm_marker,si_association_framing,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,3,3,,3,3,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C03:paradigm_marker:si_marker_mean,C03,paradigm_marker,si_marker_mean,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,2,2,,2,2,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
