field,era_band,venue_tier,source_block_order,source,source_inventory_id,status,random_base_papers_in_block,paper_ids,design_note
Clinical medicine / epidemiology / evidence-based medicine,2005-2014_completed_years_2005-2014,mid,1,PLOS Medicine,plos_medicine_plos_api_v1.0.0_2005-2014_20260621,completed_target_10,10,P0474;P0475;P0476;P0477;P0478;P0480;P0481;P0482;P0483;P0504,Initial Field 9 source block from journal_list_v1.md; PLOS Medicine is listed as top/mid and operationalized as mid pending final tier split. Official PLOS API/issue metadata define the completed 2005-2014 frame. Updated by round_20260621_clinical_medicine_initial_30; added 10 clinical medicine papers; direct PDF routes succeeded or publisher-page fallback was attempted before any alternate route. Removed 5 protocol-ineligible title-exclusion row(s) before repair append. Updated by round_20260621_clinical_medicine_title_exclusion_repair_01; added 1 clinical medicine papers; direct PDF routes succeeded or publisher-page fallback was attempted before any alternate route.
Clinical medicine / epidemiology / evidence-based medicine,2015-present_completed_years_2015-2025,mid,1,PLOS Medicine,plos_medicine_plos_api_v1.0.0_2015-2025_20260621,completed_target_10,10,P0486;P0488;P0489;P0490;P0491;P0492;P0505;P0506;P0507;P0508,Initial Field 9 modern broad-OA clinical block from journal_list_v1.md. Official PLOS API/issue metadata define the completed 2015-2025 frame. Updated by round_20260621_clinical_medicine_initial_30; added 10 clinical medicine papers; direct PDF routes succeeded or publisher-page fallback was attempted before any alternate route. Removed 5 protocol-ineligible title-exclusion row(s) before repair append. Updated by round_20260621_clinical_medicine_title_exclusion_repair_01; added 4 clinical medicine papers; direct PDF routes succeeded or publisher-page fallback was attempted before any alternate route.
Clinical medicine / epidemiology / evidence-based medicine,2015-present_completed_years_2015-2025,mid,2,BMC Medicine,bmc_medicine_springer_archive_v1.0.0_2015-2025_20260621,completed_target_10,10,P0494;P0495;P0496;P0497;P0498;P0499;P0500;P0501;P0502;P0503,Initial Field 9 broad-OA clinical companion block from journal_list_v1.md. Springer/BMC publisher article archive pages define the completed 2015-2025 frame. Updated by round_20260621_clinical_medicine_initial_30; added 10 clinical medicine papers; direct PDF routes succeeded or publisher-page fallback was attempted before any alternate route.
Clinical medicine / epidemiology / evidence-based medicine,2015-present_completed_years_2015-2025,top,1,New England Journal of Medicine (NEJM),nejm_publisher_archive_probe_20260621,source_frame_blocked_browser_recovery_pending,0,,"Included in the big-5 preflight, but local publisher archive and article routes returned scripted access blocks. Current RSS alone is not a completed 2015-2025 frame."
Clinical medicine / epidemiology / evidence-based medicine,2015-present_completed_years_2015-2025,top,2,The Lancet,lancet_publisher_archive_probe_20260621,source_frame_blocked_browser_recovery_pending,0,,"Included in the big-5 preflight, but local issue/archive routes returned scripted access blocks or redirect loops. Current RSS alone is not a completed 2015-2025 frame."
Clinical medicine / epidemiology / evidence-based medicine,2015-present_completed_years_2015-2025,top,3,JAMA,jama_publisher_archive_probe_20260621,source_frame_blocked_browser_recovery_pending,0,,"Included in the big-5 preflight, but local JAMA Network issue, article, and PDF routes returned scripted 403 blocks. A real browser recovery pass is required before opening this source."
Clinical medicine / epidemiology / evidence-based medicine,2015-present_completed_years_2015-2025,top,4,The BMJ,bmj_publisher_archive_probe_20260621,publisher_page_blocked_browser_recovery_pending,0,,"Included in the big-5 preflight. BMJ sitemap pages are reachable, but local article/PDF routes returned scripted 403 blocks and the sitemap alone does not expose enough article-type metadata for the original-research Field 9 frame."
Clinical medicine / epidemiology / evidence-based medicine,2015-present_completed_years_2015-2025,top,5,Nature Medicine,nature_medicine_nature_research_articles_oa_clinical_v1.0.0_2015-2025_20260621,completed_target_10,10,P0509;P0510;P0511;P0512;P0513;P0514;P0515;P0516;P0517;P0518,"Big-5 Field 9 top-tier source block from journal_list_v1.md. Nature Medicine is hybrid/gold, so the effective source frame is the official Nature Medicine research-article archive restricted to publisher-marked Open Access Article cards and the predeclared human clinical evidence boundary. Updated by round_20260621_clinical_big5_nature_medicine_10; added 10 Nature Medicine big-5 clinical medicine papers; direct PDF routes succeeded or publisher-page fallback was attempted before any legal alternate route."
Cognitive science / psychology,2015-present_completed_years_2015-2025,specialist,1,Collabra Psychology,collabra_psychology_openalex_v1.0.1_through2025_20260620,direct_route_limited_browser_recovery_pending,5,P0024;P0053;P0054;P0055;P0056,Initial source block accepted under revised source-blocked Stratum A protocol; source was not randomly drawn per paper. Direct PDF routes returned repeated 403 responses; publisher-page browser recovery is required before treating this source block as acquisition-limited.
Cognitive science / psychology,2015-present_completed_years_2015-2025,specialist,2,Behavior Research Methods,behavior_research_methods_openalex_cognitive_psychology_v1.0.0_2015-2025_20260621,completed_target_10,10,P0374;P0375;P0376;P0377;P0378;P0379;P0380;P0381;P0382;P0383,Underfilled field; new scheduled specialist source block with neutral Cognitive psychology concept filter. Updated by round_20260621_balanced_repair_100; added 10 papers; overfilled lanes frozen; direct failures used publisher-page fallback before documented OA alternates.
Cognitive science / psychology,2015-present_completed_years_2018-2025,specialist,3,Computational Brain & Behavior,computational_brain_behavior_openalex_cognitive_psychology_v1.0.0_2018-2025_20260621,completed_target_10,10,P0384;P0385;P0386;P0387;P0388;P0389;P0390;P0391;P0392;P0393,Underfilled field; new scheduled specialist source block with neutral Cognitive psychology concept filter. Updated by round_20260621_balanced_repair_100; added 10 papers; overfilled lanes frozen; direct failures used publisher-page fallback before documented OA alternates.
Computational biology / genomics-ML,2005-2014_completed_years_2005-2014,specialist,1,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,extended_next100_completed,34,P0087;P0088;P0089;P0090;P0091;P0093;P0094;P0095;P0096;P0097;P0099;P0100;P0101;P0157;P0158;P0159;P0160;P0161;P0162;P0174;P0175;P0176;P0177;P0178;P0179;P0180;P0181;P0182;P0183;P0184;P0185;P0186;P0187;P0188,Historical source block opened for 100-paper random-base expansion. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route. QC removed P0092/P0098/P0163 from this expansion because title-level review indicated off-field/non-paper contamination. Updated by round_20260620_random_base_next_100; added 15 papers in the next-100 expansion; direct-route failures require publisher-page browser fallback before final source-limit status.
