paper_id,significance_dependence,prediction_dependence,high_dimensional_search,flexible_pipeline,weak_mechanism,local_validation,limited_intervention,total,coder,confidence,notes
P0004,0,0,0,0,0,0,1,1,Codex,medium,"Not statistically dependent; limited-intervention flag reflects paper form."
P0013,0,0,0,0,0,0,0,0,Codex,high,"Not dependent on statistical certification."
P0002,0,0,0,0,0,1,0,1,Codex,medium,"Some organism/context locality but not a statistical-search paper."
P0008,0,0,0,0,0,0,1,1,Codex,medium,"Structural measurement more than statistical induction."
P0015,0,0,0,0,0,0,2,2,Codex,medium,"Failed structural conjecture; statistical dependence is not the issue."
P0016,0,0,0,0,0,0,0,0,Codex,low,"Again looks progress-like, not statistically inductivist."
P0001,0,0,0,0,1,1,0,2,Codex,medium,"Some mechanistic incompleteness and organism locality."
P0005,0,0,0,0,0,0,1,1,Codex,low,"Theory paper; limited direct intervention."
P0009,0,2,2,1,1,0,2,8,Codex,medium,"Prediction and benchmark success carry much of the claim."
P0010,1,0,2,2,1,1,2,9,Codex,medium,"High-dimensional atlas with limited perturbational testing."
P0012,1,0,2,2,1,1,2,9,Codex,medium,"High-dimensional atlas with limited perturbational testing."
P0011,1,0,2,2,1,1,2,9,Codex,medium,"Disease atlas, observational and high-dimensional."
P0007,2,0,2,1,1,1,2,9,Codex,medium,"Gene-set statistics and high-dimensional expression interpretation are central."
P0006,1,1,2,1,1,1,1,8,Codex,medium,"Signature matching is central, though perturbational data add causal texture."
P0003,0,0,2,1,0,1,2,6,Codex,medium,"Tool generates high-dimensional data; main claim is infrastructure."
P0014,2,0,2,2,1,1,2,10,Codex,medium,"Statistical genetics method with many modeling and annotation choices."

