paper_id,field,source,inventory_id,era_band,draw_idx,seed,unit_id,unit_year,title,doi,eligible_units,eligible_papers_in_selected_unit,selection_probability,design_weight,pdf_url,pdf_path,text_path,pdf_sha256,text_chars
P0174,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2005-2014_completed_years_2005-2014,1,202606200501,plos_computational_biology_2012_v9_i8,2012,Job: Experienced Prosthetic Tech.,10.1371/journal.pcbi.1003193,164,1,0.00609756097560976,164,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1003193&type=printable,corpus/pdfs/computational_biology/P0174.pdf,corpus/text/computational_biology/P0174.txt,42fe3ec51cbea0c70987aa6840467205a70abf2300dfb694c8b18c9d4d83e9c7,52190
P0175,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2005-2014_completed_years_2005-2014,2,202606200501,plos_computational_biology_2008_v4_i6,2008,A Comparative Computer Simulation of Dendritic Morphology,10.1371/journal.pcbi.1000089,164,15,0.00040650406504065,2460,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1000089&type=printable,corpus/pdfs/computational_biology/P0175.pdf,corpus/text/computational_biology/P0175.txt,4c32c09ca5b22acfd1d2be800f813c122fd9019a13113c82355446283d2cd0a0,65379
P0176,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2005-2014_completed_years_2005-2014,3,202606200501,plos_computational_biology_2013_v9_i1,2013,Metallochaperones Regulate Intracellular Copper Levels,10.1371/journal.pcbi.1002880,164,48,0.000127032520325203,7872,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1002880&type=printable,corpus/pdfs/computational_biology/P0176.pdf,corpus/text/computational_biology/P0176.txt,fe878439b2120db0604abc60fbe6164daf481d69ab92e0823d9c3f4e09e61956,67056
P0177,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2005-2014_completed_years_2005-2014,4,202606200501,plos_computational_biology_2006_v2_i11,2006,Humans Can Adopt Optimal Discounting Strategy under Real-Time Constraints,10.1371/journal.pcbi.0020152,164,15,0.00040650406504065,2460,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.0020152&type=printable,corpus/pdfs/computational_biology/P0177.pdf,corpus/text/computational_biology/P0177.txt,896243b58e1b126a5dc29eaf27212069bff91d08d7b326e87ff960dfa5301a62,47366
P0178,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2005-2014_completed_years_2005-2014,5,202606200501,plos_computational_biology_2010_v6_i3,2010,Detailed Simulations of Cell Biology with Smoldyn 2.1,10.1371/journal.pcbi.1000705,164,35,0.000174216027874564,5740,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1000705&type=printable,corpus/pdfs/computational_biology/P0178.pdf,corpus/text/computational_biology/P0178.txt,068d08dba7f639c8353237cd05f821414db2d19d131e87b9a895e1d70fe41810,56786
P0179,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2005-2014_completed_years_2005-2014,6,202606200501,plos_computational_biology_2010_v6_i4,2010,Somitogenesis Clock-Wave Initiation Requires Differential Decay and Multiple Binding Sites for Clock Protein,10.1371/journal.pcbi.1000728,164,45,0.00013550135501355,7380,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1000728&type=printable,corpus/pdfs/computational_biology/P0179.pdf,corpus/text/computational_biology/P0179.txt,66a9405797808eca624f65681441f18f15efc3d25694e63207fb2cbb4f8f83f8,90365
P0180,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2005-2014_completed_years_2005-2014,7,202606200501,plos_computational_biology_2007_v3_i11,2007,Self-organizing Mechanism for Development of Space-filling Neuronal Dendrites,10.1371/journal.pcbi.0030212,164,32,0.000190548780487805,5248,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.0030212&type=printable,corpus/pdfs/computational_biology/P0180.pdf,corpus/text/computational_biology/P0180.txt,62c2af5d00302ff1b3afae807cb0abc86222f4170b30fdffc098714cf6b41dbe,58366
P0181,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2005-2014_completed_years_2005-2014,8,202606200501,plos_computational_biology_2006_v2_i9,2006,"Phylogenetic Reconstruction of Orthology, Paralogy, and Conserved Synteny for Dog and Human",10.1371/journal.pcbi.0020133,164,17,0.000358680057388809,2788,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.0020133&type=printable,corpus/pdfs/computational_biology/P0181.pdf,corpus/text/computational_biology/P0181.txt,efe01682362a088340e3e262a9e3e88ce78e12fa2812588b4678b52d720e3154,96582
P0182,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2005-2014_completed_years_2005-2014,9,202606200501,plos_computational_biology_2012_v16_i10,2012,"Pré-indexation vidéo à l'acquisition, de l'ontologie à l'architecture embarquée",10.1371/journal.pcbi.1008263,164,1,0.00609756097560976,164,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1008263&type=printable,corpus/pdfs/computational_biology/P0182.pdf,corpus/text/computational_biology/P0182.txt,1f7186632fb8c2b27f35e009b365493319dc93b968057c4d99881ebb525303b0,49189
P0183,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2005-2014_completed_years_2005-2014,10,202606200501,plos_computational_biology_2009_v5_i8,2009,"Autocatalytic Loop, Amplification and Diffusion: A Mathematical and Computational Model of Cell Polarization in Neural Chemotaxis",10.1371/journal.pcbi.1000479,164,40,0.000152439024390244,6560,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1000479&type=printable,corpus/pdfs/computational_biology/P0183.pdf,corpus/text/computational_biology/P0183.txt,4e36b138d87271b5cec10f1cf27f730117bd7e5c8c43cdc1089ceb44bc956d08,64967
P0184,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2005-2014_completed_years_2005-2014,11,202606200501,plos_computational_biology_2007_v3_i5,2007,Predictive Modeling of Signaling Crosstalk during C. elegans Vulval Development,10.1371/journal.pcbi.0030092,164,18,0.000338753387533875,2952,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.0030092&type=printable,corpus/pdfs/computational_biology/P0184.pdf,corpus/text/computational_biology/P0184.txt,e6db649c5f89ba4f45639b0bf11adaab704bb68c17d10b8e0e893806b6560ea4,62780
P0185,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2005-2014_completed_years_2005-2014,12,202606200501,plos_computational_biology_2009_v5_i8,2009,"Stable, Precise, and Reproducible Patterning of Bicoid and Hunchback Molecules in the Early Drosophila Embryo",10.1371/journal.pcbi.1000486,164,40,0.000152439024390244,6560,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1000486&type=printable,corpus/pdfs/computational_biology/P0185.pdf,corpus/text/computational_biology/P0185.txt,ef16769cfa398ceb9afe148135b7cdca967f572b01e5b298e7ff24f137ac504b,114437
P0186,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2005-2014_completed_years_2005-2014,13,202606200501,plos_computational_biology_2009_v5_i4,2009,Inferring Stabilizing Mutations from Protein Phylogenies: Application to Influenza Hemagglutinin,10.1371/journal.pcbi.1000349,164,31,0.00019669551534225,5084,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1000349&type=printable,corpus/pdfs/computational_biology/P0186.pdf,corpus/text/computational_biology/P0186.txt,4868aad4fdb34d1b0d8b7ff6a651cdc0495bf50250803c29d2b587bb576abe2f,108777
P0187,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2005-2014_completed_years_2005-2014,14,202606200501,plos_computational_biology_2013_v9_i8,2013,Endogenous Cholinergic Inputs and Local Circuit Mechanisms Govern the Phasic Mesolimbic Dopamine Response to Nicotine,10.1371/journal.pcbi.1003183,164,41,0.000148720999405116,6724,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1003183&type=printable,corpus/pdfs/computational_biology/P0187.pdf,corpus/text/computational_biology/P0187.txt,be4e9b601abde52732cdeaf197857a7482977bbe83ad951d5162fd3d4103412f,83099
P0188,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2005-2014_completed_years_2005-2014,15,202606200501,plos_computational_biology_2012_v13_i12,2012,The modulation of locomotor central pattern generators by octopamine and Tyramine indrosophila larvae,10.1371/journal.pcbi.1005908,164,1,0.00609756097560976,164,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1005908&type=printable,corpus/pdfs/computational_biology/P0188.pdf,corpus/text/computational_biology/P0188.txt,3df4dd0df0395fc14b2fb4a00e8f452db8abfeb42b4fa83fcfde36ed20528b5c,7308
P0189,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,1,202606200502,plos_computational_biology_2020_v16_i2,2020,Multi-state design of flexible proteins predicts sequences optimal for conformational change,10.1371/journal.pcbi.1007339,138,62,0.000116877045348294,8556,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1007339&type=printable,corpus/pdfs/computational_biology/P0189.pdf,corpus/text/computational_biology/P0189.txt,c30bb799c7ff48ae5d8aefada5132aa8768af9323b72ebc1b664b8529bcf1c1c,103610
P0190,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,2,202606200502,plos_computational_biology_2019_v15_i8,2019,Bayesian phylodynamics of avian influenza A virus H9N2 in Asia with time-dependent predictors of migration,10.1371/journal.pcbi.1007189,138,56,0.000129399585921325,7728,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1007189&type=printable,corpus/pdfs/computational_biology/P0190.pdf,corpus/text/computational_biology/P0190.txt,0c36861a9fbc0da309452f76f3ee02fbca07eb5f1b9ab6706d1d640ea68f09b5,73596
P0191,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,3,202606200502,plos_computational_biology_2018_v14_i9,2018,Individualised aspiration dynamics: Calculation by proofs,10.1371/journal.pcbi.1006035,138,36,0.000201288244766506,4968,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1006035&type=printable,corpus/pdfs/computational_biology/P0191.pdf,corpus/text/computational_biology/P0191.txt,db179fafe8d7d4277cddf8ab0fe7bf29090992c508522501a3c7ac5a09885fb7,57483
P0192,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,4,202606200502,plos_computational_biology_2022_v18_i6,2022,Characterizing superspreading potential of infectious disease: Decomposition of individual transmissibility,10.1371/journal.pcbi.1010281,138,95,7.627765064836e-05,13110,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1010281&type=printable,corpus/pdfs/computational_biology/P0192.pdf,corpus/text/computational_biology/P0192.txt,a5fc3d1f76623af7fd989b19e525b189a7d4dfdef1f6c0a66a712fb961aea342,101464
P0193,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,5,202606200502,plos_computational_biology_2022_v18_i1,2022,Identification of dynamic mass-action biochemical reaction networks using sparse Bayesian methods,10.1371/journal.pcbi.1009830,138,66,0.000109793588054458,9108,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1009830&type=printable,corpus/pdfs/computational_biology/P0193.pdf,corpus/text/computational_biology/P0193.txt,79a6e10d3501799732f87041044f612547e5b165a77b8124b119f30dbb354f90,65529
P0194,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,6,202606200502,plos_computational_biology_2024_v22_i4,2024,QoALa: A comprehensive workflow for viral quasispecies diversity comparison using long-read sequencing data,10.1371/journal.pcbi.1014208,138,1,0.0072463768115942,138,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1014208&type=printable,corpus/pdfs/computational_biology/P0194.pdf,corpus/text/computational_biology/P0194.txt,c7ebef1ea6f162bf821f8dcb5fd00f5ef4c078504d15f427a4792f5d9177d28c,77425
