source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Nature Neuroscience,nature_neuroscience_v18_i10,2015,18,10,10.1038/nn.4090,PMC4583810,https://openalex.org/W2342247067,Coordinated forms of noradrenergic plasticity in the locus coeruleus and primary auditory cortex,Ana Raquel O. Martins; Robert C. Froemke,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4583810,https://pmc.ncbi.nlm.nih.gov/articles/PMC4583810/pdf/,https://doi.org/10.1038/nn.4090
Nature Neuroscience,nature_neuroscience_v18_i10,2015,18,10,10.1038/nn.4110,PMC4583818,https://openalex.org/W2206531383,Basal forebrain neuronal inhibition enables rapid behavioral stopping,Jeffrey D Mayse; Geoffrey M. Nelson; Irene Avila; Michela Gallagher; Shih‐Chieh Lin,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4583818,https://pmc.ncbi.nlm.nih.gov/articles/PMC4583818/pdf/,https://doi.org/10.1038/nn.4110
Nature Neuroscience,nature_neuroscience_v18_i11,2015,18,11,10.1038/nn.4128,PMC4624479,https://openalex.org/W2215103083,Flexible gating of contextual influences in natural vision,Ruben Coen-Cagli; Adam Kohn; Odelia Schwartz,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4624479,https://pmc.ncbi.nlm.nih.gov/articles/PMC4624479/pdf/,https://doi.org/10.1038/nn.4128
Nature Neuroscience,nature_neuroscience_v18_i11,2015,18,11,10.1038/nn.4131,PMC4624522,https://openalex.org/W1895368383,Connectivity of mouse somatosensory and prefrontal cortex examined with trans-synaptic tracing,Laura A. DeNardo; Dominic S. Berns; Katherine E. DeLoach; Liqun Luo,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4624522,https://pmc.ncbi.nlm.nih.gov/articles/PMC4624522/pdf/,https://doi.org/10.1038/nn.4131
Nature Neuroscience,nature_neuroscience_v18_i12,2015,18,12,10.1038/nn.4150,PMC4670781,https://openalex.org/W2174109782,Sensory uncertainty decoded from visual cortex predicts behavior,Ruben S. van Bergen; Wei Ji; Michael S. Pratte; Janneke F. M. Jehee,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4670781,https://pmc.ncbi.nlm.nih.gov/articles/PMC4670781/pdf/,https://doi.org/10.1038/nn.4150
Nature Neuroscience,nature_neuroscience_v18_i2,2015,18,2,10.1038/nn.3921,PMC4334116,https://openalex.org/W1972164577,The development of cortical circuits for motion discrimination,Gordon B. Smith; Audrey Sederberg; Yishai M Elyada; Stephen D. Van Hooser; Matthias Kaschube; David Fitzpatrick,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4334116,https://pmc.ncbi.nlm.nih.gov/articles/PMC4334116/pdf/,https://doi.org/10.1038/nn.3921
Nature Neuroscience,nature_neuroscience_v18_i3,2015,18,3,10.1038/nn.3948,PMC4410695,https://openalex.org/W2052503012,In vivo coincidence detection in mammalian sound localization generates phase delays,Tom P. Franken; Michael T. Roberts; Liting Wei; Nace L. Golding; Philip X. Joris,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4410695,https://pmc.ncbi.nlm.nih.gov/articles/PMC4410695/pdf/,https://doi.org/10.1038/nn.3948
Nature Neuroscience,nature_neuroscience_v18_i4,2015,18,4,10.1038/nn.3968,PMC4376557,https://openalex.org/W1965070330,Internally organized mechanisms of the head direction sense,Adrien Peyrache; Marie Lacroix; Peter Petersen; György Buzsáki,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4376557,https://pmc.ncbi.nlm.nih.gov/articles/PMC4376557/pdf/,https://doi.org/10.1038/nn.3968
Nature Neuroscience,nature_neuroscience_v19_i1,2015,19,1,10.1038/nn.4168,PMC4880358,https://openalex.org/W2179450982,Task-specific versus generalized mnemonic representations in parietal and prefrontal cortices,Arup Sarma; Nicolas Y. Masse; Xiao‐Jing Wang; David J. Freedman,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4880358,https://pmc.ncbi.nlm.nih.gov/articles/PMC4880358/pdf/,https://doi.org/10.1038/nn.4168
Nature Neuroscience,nature_neuroscience_v19_i3,2016,19,3,10.1038/nn.4240,PMC5378479,https://openalex.org/W2276275277,Confidence and certainty: distinct probabilistic quantities for different goals,Alexandre Pouget; Jan Drugowitsch; Ádám Kepecs,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/5378479,https://pmc.ncbi.nlm.nih.gov/articles/PMC5378479/pdf/,https://doi.org/10.1038/nn.4240
