paper_id,doi_or_identifier,proposed_title,field,inclusion_basis,criterion_detail,added_date,added_by,locked_before_coding,notes
,10.1103/fbct-vzwm,How Different are Self and Nonself?,biophysics / theoretical immunology,curated_interest,Project-lead pick of interest,2026-06-22,Joe,yes,"Tiffeau-Mayer A. et al. (6 authors, incl. W. Bialek, B.D. Greenbaum); PRX Life 4, 013027 (2026); gold OA CC-BY; arXiv preprint 2212.12049. Not yet acquired."
,10.1038/s41467-025-57271-1,Pan-cancer multi-omic model of LINE-1 activity reveals locus heterogeneity of retrotransposition efficiency,computational biology / genomics,curated_interest,Project-lead pick of interest,2026-06-22,Joe,yes,"Solovyov A. et al. (17 authors, incl. B.D. Greenbaum); Nature Communications 16, 2049 (2025); gold OA CC-BY. Original article: the supplied DOI 10.1038/s41467-025-58288-2 was the Author Correction notice; replaced with the article DOI per Crossref. Not yet acquired."
,proceedings.mlr.press/v33/mohan14a.html,On the Testability of Models with Missing Data,machine learning / causal inference,curated_interest,Project-lead pick of interest,2026-06-22,Joe,yes,"Karthika Mohan; Judea Pearl; AISTATS 2014, PMLR 33:643-650; open-access proceedings (no DOI). Not yet acquired."
,10.1038/35002125,A synthetic oscillatory network of transcriptional regulators,molecular / synthetic biology,recognized_landmark,Foundational synthetic-biology classic; high causal-Popperian exemplar (build-to-test),2026-06-22,Joe,yes,"Elowitz M.B.; Leibler S.; Nature 403:335-338 (2000). Suggested as high-causal exemplar, approved by project lead. OA route to verify at acquisition. Not yet acquired."
,10.1038/ng881,Network motifs in the transcriptional regulation network of Escherichia coli,computational biology / systems biology,recognized_landmark,Textbook-cited classic; high causal-Popperian exemplar (motif-to-function claims),2026-06-22,Joe,yes,"Shen-Orr S.S.; Milo R.; Mangan S.; Alon U.; Nature Genetics 31(1):64-68 (2002). OA route to verify at acquisition. Not yet acquired."
,10.1126/science.1069883,A Genomic Regulatory Network for Development,developmental biology / gene regulatory networks,recognized_landmark,Foundational developmental-GRN paper; high causal-Popperian exemplar (perturbation-verified architecture),2026-06-22,Joe,yes,"Davidson E.H. et al. (25 authors); Science 295(5560):1669-1678 (2002). OA route to verify at acquisition. Not yet acquired."
,10.1093/biomet/82.4.669,Causal diagrams for empirical research,statistics / causal inference,recognized_landmark,Foundational causal-diagram paper; author Judea Pearl (2011 Turing Award); high causal-Popperian exemplar,2026-06-22,Joe,yes,"Judea Pearl; Biometrika 82(4):669-688 (1995). OA route to verify at acquisition. Not yet acquired."
,MIT Press 2nd ed. 2000 (book; no DOI),"Causation, Prediction, and Search",machine learning / causal discovery,recognized_landmark,Foundational causal-discovery text; high causal-Popperian exemplar (conjecture-and-test over structure),2026-06-22,Joe,yes,"Spirtes P.; Glymour C.; Scheines R.; MIT Press 2nd ed. (2000); 1st ed. Springer LNS 81 (1993). Book, no article DOI. OA route to verify at acquisition. Not yet acquired."
,10.1111/rssb.12167,Causal Inference by using Invariant Prediction: Identification and Confidence Intervals,statistics / causal inference,curated_interest,Project-lead pick; high causal-Popperian exemplar (falsifiable invariance claim),2026-06-22,Joe,yes,"Peters J.; Buhlmann P.; Meinshausen N.; J. R. Statist. Soc. B 78(5):947-1012 (2016). OA route to verify at acquisition. Not yet acquired."
,arXiv:1907.02893,Invariant Risk Minimization,machine learning / causal inference,curated_interest,Project-lead pick; high causal-Popperian exemplar (invariance / causal generalization),2026-06-22,Joe,yes,"Arjovsky M.; Bottou L.; Gulrajani I.; Lopez-Paz D.; arXiv:1907.02893 (2019); open access. Preprint, no journal DOI. Not yet acquired."
,10.1109/JPROC.2021.3058954,Toward Causal Representation Learning,machine learning / causal inference,curated_interest,Project-lead pick; high causal-Popperian exemplar (causal structure vs pattern-fitting),2026-06-22,Joe,yes,"Scholkopf B.; Locatello F.; Bauer S.; Ke N.R.; Kalchbrenner N.; Goyal A.; Bengio Y.; Proceedings of the IEEE 109(5):612-634 (2021); gold OA CC-BY. Not yet acquired."
,10.1137/1116025,On the Uniform Convergence of Relative Frequencies of Events to Their Probabilities,machine learning / statistical learning theory,recognized_landmark,Foundational VC / statistical-learning-theory paper; high-rigor stress-test case (formally sharp but subject is induction),2026-06-22,Joe,yes,"Vapnik V.N.; Chervonenkis A.Ya.; Theory of Probability & Its Applications 16(2):264-280 (1971). OA route to verify at acquisition. Not yet acquired."
