field,source,inventory_id,unit_id,title,doi,pdf_url,error
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2024_09_batch,Movies reveal the fine-grained organization of infant visual cortex,10.7554/elife.92119.2,https://elifesciences.org/articles/2.pdf,<HTTPError 404: 'Not Found'>
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2025_v12,High-throughput tracking enables systematic phenotyping and drug repurposing in C. elegans disease models,10.7554/elife.92491.4,https://elifesciences.org/articles/4.pdf,<HTTPError 404: 'Not Found'>
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2025_06_batch,PRMT1-Mediated Metabolic Reprogramming Promotes Leukemogenesis,10.7554/elife.105318.2,https://elifesciences.org/articles/2.pdf,<HTTPError 404: 'Not Found'>
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2025_03_batch,Follicular helper- and peripheral helper-like T cells drive autoimmune disease in human immune system mice,10.7554/elife.99389.2,https://elifesciences.org/articles/2.pdf,<HTTPError 404: 'Not Found'>
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2025_03_batch,Mapping Visual Contrast Sensitivity and Vision Loss Across the Visual Field with Model-Based fMRI,10.7554/elife.105930.1,https://elifesciences.org/articles/1.pdf,<HTTPError 404: 'Not Found'>
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2024_11_batch,An ancient competition for the conserved branchpoint sequence influences physiological and evolutionary outcomes in splicing,10.7554/elife.103167.1,https://elifesciences.org/articles/1.pdf,<HTTPError 404: 'Not Found'>
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2023_12_batch,The neural and physiological substrates of real-world attention change across development.,10.7554/elife.92171.1,https://elifesciences.org/articles/1.pdf,<HTTPError 404: 'Not Found'>
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2024_08_batch,Contrasting responses to aridity by different-sized decomposers cause similar decomposition rates across a precipitation gradient,10.7554/elife.93656.2,https://elifesciences.org/articles/2.pdf,<HTTPError 404: 'Not Found'>
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2024_11_batch,PA28γ promotes the malignant progression of tumor by elevating mitochondrial function via C1QBP,10.7554/elife.101244.2,https://elifesciences.org/articles/2.pdf,<HTTPError 404: 'Not Found'>
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2023_10_batch,OpenApePose: a database of annotated ape photographs for pose estimation,10.7554/elife.86873.2,https://elifesciences.org/articles/2.pdf,<HTTPError 404: 'Not Found'>
