source,unit_id,year,volume,issue,doi,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Genome Biology,genome_biology_v16_i1,2015,16,1,10.1186/s13059-015-0721-2,https://openalex.org/W1900937478,OrthoFinder: solving fundamental biases in whole genome comparisons dramatically improves orthogroup inference accuracy,David Emms; Steven Kelly,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-015-0721-2,https://link.springer.com/content/pdf/10.1186/s13059-015-0721-2.pdf,https://doi.org/10.1186/s13059-015-0721-2
Genome Biology,genome_biology_v16_i1,2015,16,1,10.1186/s13059-015-0844-5,https://openalex.org/W2190545194,MAST: a flexible statistical framework for assessing transcriptional changes and characterizing heterogeneity in single-cell RNA sequencing data,Greg Finak et al.,article,gold,https://genomebiology.biomedcentral.com/track/pdf/10.1186/s13059-015-0844-5,https://link.springer.com/content/pdf/10.1186/s13059-015-0844-5.pdf,https://doi.org/10.1186/s13059-015-0844-5
Genome Biology,genome_biology_v16_i1,2015,16,1,10.1186/s13059-015-0831-x,https://openalex.org/W2185693210,HiC-Pro: an optimized and flexible pipeline for Hi-C data processing,Nicolas Servant et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-015-0831-x,https://link.springer.com/content/pdf/10.1186/s13059-015-0831-x.pdf,https://doi.org/10.1186/s13059-015-0831-x
Genome Biology,genome_biology_v16_i1,2015,16,1,10.1186/s13059-015-0849-0,https://openalex.org/W2202810729,Circlator: automated circularization of genome assemblies using long sequencing reads,Martin Hunt; Nishadi De Silva; Thomas D. Otto; Julian Parkhill; Jacqueline A. Keane; Simon R. Harris,article,gold,https://genomebiology.biomedcentral.com/track/pdf/10.1186/s13059-015-0849-0,https://link.springer.com/content/pdf/10.1186/s13059-015-0849-0.pdf,https://doi.org/10.1186/s13059-015-0849-0
Genome Biology,genome_biology_v16_i1,2015,16,1,10.1186/s13059-015-0759-1,https://openalex.org/W1948774627,Host genetic variation impacts microbiome composition across human body sites,Ran Blekhman et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-015-0759-1,https://link.springer.com/content/pdf/10.1186/s13059-015-0759-1.pdf,https://doi.org/10.1186/s13059-015-0759-1
Genome Biology,genome_biology_v16_i1,2015,16,1,10.1186/s13059-015-0805-z,https://openalex.org/W2152692691,ZIFA: Dimensionality reduction for zero-inflated single-cell gene expression analysis,Emma Pierson; Christopher Yau,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-015-0805-z,https://link.springer.com/content/pdf/10.1186/s13059-015-0805-z.pdf,https://doi.org/10.1186/s13059-015-0805-z
Genome Biology,genome_biology_v16_i1,2015,16,1,10.1186/s13059-015-0796-9,https://openalex.org/W2149058703,"High-frequency, precise modification of the tomato genome",Tomáš Čermák; Nicholas J. Baltes; Radim Čegan; Yong Zhang; Daniel F. Voytas,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-015-0796-9,https://link.springer.com/content/pdf/10.1186/s13059-015-0796-9.pdf,https://doi.org/10.1186/s13059-015-0796-9
Genome Biology,genome_biology_v16_i1,2015,16,1,10.1186/s13059-015-0690-5,https://openalex.org/W1566841623,Statistically based splicing detection reveals neural enrichment and tissue-specific induction of circular RNA during human fetal development,Linda Szabo et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-015-0690-5,https://link.springer.com/content/pdf/10.1186/s13059-015-0690-5.pdf,https://doi.org/10.1186/s13059-015-0690-5
Genome Biology,genome_biology_v16_i1,2015,16,1,10.1186/s13059-015-0843-6,https://openalex.org/W2201689894,"Quality control, modeling, and visualization of CRISPR screens with MAGeCK-VISPR",Wei Li et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-015-0843-6,https://link.springer.com/content/pdf/10.1186/s13059-015-0843-6.pdf,https://doi.org/10.1186/s13059-015-0843-6
Genome Biology,genome_biology_v16_i1,2015,16,1,10.1186/s13059-015-0826-7,https://openalex.org/W2176470754,"Induction of targeted, heritable mutations in barley and Brassica oleracea using RNA-guided Cas9 nuclease",Tom Lawrenson et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-015-0826-7,https://link.springer.com/content/pdf/10.1186/s13059-015-0826-7.pdf,https://doi.org/10.1186/s13059-015-0826-7
