rating_id,paper_id,judge_round_id,rubric_version,entity_specification,causal_relation,mechanism,intervention_relevance,invariance,rival_explanations,severe_test,measurement_model,abstraction_discipline,total,confidence,reviewed_full_text,blinded_to_field,blinded_to_outcomes,blinded_to_prior_ratings,rationale,created_date
car_codex_seed_0001,P0004,jr_codex_initial_round_001,v0.1-pilot,2,2,2,1,1,1,1,1,2,13,medium,false,false,true,true,"Scores the paper as published, not later confirmations.",2026-06-19
car_codex_seed_0002,P0013,jr_codex_initial_round_001,v0.1-pilot,2,2,2,2,1,2,2,2,2,17,high,false,false,true,true,Paradigmatic severe test with explicit rival models.,2026-06-19
car_codex_seed_0003,P0002,jr_codex_initial_round_001,v0.1-pilot,2,2,1,2,1,1,2,1,2,14,medium,false,false,true,true,Strong intervention; exact molecular mechanism remains partly downstream.,2026-06-19
car_codex_seed_0004,P0008,jr_codex_initial_round_001,v0.1-pilot,2,1,1,0,2,2,2,2,2,14,medium,false,false,true,true,"High measurement/severe-test commitment, lower intervention/mechanism.",2026-06-19
car_codex_seed_0005,P0015,jr_codex_initial_round_001,v0.1-pilot,2,1,1,0,1,0,0,1,2,8,medium,false,false,true,true,Committed abstraction but weak empirical criticism in the paper.,2026-06-19
car_codex_seed_0006,P0016,jr_codex_initial_round_001,v0.1-pilot,2,2,2,2,1,1,2,2,2,16,low,false,false,true,true,High score suggests it may not function well as a control.,2026-06-19
car_codex_seed_0007,P0001,jr_codex_initial_round_001,v0.1-pilot,2,2,1,2,1,1,1,1,2,13,medium,false,false,true,true,Mechanism is present but not fully closed.,2026-06-19
car_codex_seed_0008,P0005,jr_codex_initial_round_001,v0.1-pilot,2,1,1,0,2,1,1,0,2,10,low,false,false,true,true,Theory paper; measurement model not central because it is not empirical.,2026-06-19
car_codex_seed_0009,P0009,jr_codex_initial_round_001,v0.1-pilot,2,0,1,1,2,1,2,2,2,13,medium,false,false,true,true,Strong benchmark/measurement abstraction; weak causal mechanism by design.,2026-06-19
car_codex_seed_0010,P0010,jr_codex_initial_round_001,v0.1-pilot,2,0,0,0,1,0,0,2,1,6,medium,false,false,true,true,"Atlas paper: strong entity/measurement specification, weak causal commitments.",2026-06-19
car_codex_seed_0011,P0012,jr_codex_initial_round_001,v0.1-pilot,2,0,0,0,1,0,0,2,1,6,medium,false,false,true,true,Similar atlas profile to P0010.,2026-06-19
car_codex_seed_0012,P0011,jr_codex_initial_round_001,v0.1-pilot,2,1,1,0,1,0,0,2,1,8,medium,false,false,true,true,Observational disease atlas with some mechanistic interpretation.,2026-06-19
car_codex_seed_0013,P0007,jr_codex_initial_round_001,v0.1-pilot,2,0,0,0,1,0,1,2,1,7,medium,false,false,true,true,Method paper; not primarily a causal abstraction.,2026-06-19
car_codex_seed_0014,P0006,jr_codex_initial_round_001,v0.1-pilot,2,1,0,1,1,0,1,2,2,10,medium,false,false,true,true,Perturbational resource gives intervention relevance without full mechanism.,2026-06-19
car_codex_seed_0015,P0003,jr_codex_initial_round_001,v0.1-pilot,2,0,0,0,1,0,1,2,1,7,medium,false,false,true,true,Tool/infrastructure paper; score should be interpreted separately.,2026-06-19
car_codex_seed_0016,P0014,jr_codex_initial_round_001,v0.1-pilot,2,1,0,0,1,1,1,2,1,9,medium,false,false,true,true,Statistical genetics abstraction with limited intervention relevance.,2026-06-19
