action_type,priority,field,era_band,venue_tier,source,inventory_status,current_n,target_n,gap,frame_capacity,oa_route,oa_route_verified,acquisition_route,fixes_tier_coverage,planned_action,design_change_rationale,exception_note,status_20260622,status_20260624
tier_fix,P1,Cognitive science / psychology,2015-present,mid,Cognition,must_build,0,10,10,verify@inventory,hybrid/archive,pending,direct->browser->OA,YES,Build inventory; draw 10 from OA-accessible subset,"Cog-sci is specialist-only (25, Collabra/BRM/CB&B); add mid tier. Hybrid: draw from OA subset, fold OA into weight (D4).",,SUBSTITUTED -> Cognitive Research: P&I (gold OA); COMPLETED: P0649-P0658 (10) via round_20260622_p1_crpi_cogsci_mid_2015_present_SUBSTITUTE; original Cognition acquisition_limited,
tier_fix,P1,Computational biology / genomics-ML,2005-2014,mid,Genome Biology,must_build,0,10,10,verify@inventory,gold,pending,direct->browser->OA,YES,Build inventory; draw 10,"Comp bio is specialist-only (94 papers, PLOS Comp Bio); add mid tier to satisfy hard tier-coverage rule and de-single-source.",,COMPLETED: P0519-P0528 (10) via round_20260621_p1_genome_biology_compbio_mid_2005_2014,
tier_fix,P1,Computational biology / genomics-ML,2005-2014,top,Nature Methods,must_build,0,10,10,verify@inventory,hybrid/archive,pending,direct->browser->PMC,YES (top; completes 3-tier span),Build inventory; draw 10 from OA-accessible subset,Deep specialist field; add TOP tier (per direction) so the field spans specialist+mid+top.,"OA subset thin pre-2008 (D4); draw OA-accessible subset, fold OA into weight.",COMPLETED: P0539-P0548 (10) via round_20260621_p1_nature_methods_compbio_top_2005_2014,
tier_fix,P1,Computational biology / genomics-ML,2015-present,mid,Genome Biology,must_build,0,10,10,verify@inventory,gold,pending,direct->browser->OA,YES,Build inventory; draw 10,"Same field, modern era; mid-tier companion to PLOS Comp Bio.",,COMPLETED: P0529-P0538 (10) via round_20260621_p1_genome_biology_compbio_mid_2015_present,
tier_fix,P1,Computational biology / genomics-ML,2015-present,top,Nature Methods,must_build,0,10,10,verify@inventory,hybrid/archive,pending,direct->browser->PMC,YES (top; completes 3-tier span),Build inventory; draw 10 from OA-accessible subset,Deep specialist field; add TOP tier (per direction) so the field spans specialist+mid+top.,,COMPLETED: P0639-P0648 (10) via round_20260621_p1_nature_methods_compbio_top_2015_present,
tier_fix,P1,Computational neuroscience,2005-2014,mid,Journal of Neuroscience,must_build,0,10,10,verify@inventory,green/PMC,pending,direct->browser->PMC,YES,Build inventory; draw 10,"Comp neuro is specialist-only (94, Frontiers); add mid tier (green/PMC after embargo).",,COMPLETED: P0599-P0608 (10) via round_20260621_p1_jneuro_compneuro_mid_2005_2014,
tier_fix,P1,Computational neuroscience,2005-2014,top,Nature Neuroscience,must_build,0,10,10,verify@inventory,hybrid/archive,pending,direct->browser->PMC,YES (top; completes 3-tier span),Build inventory; draw 10 from OA-accessible subset,Deep specialist field; add TOP tier (per direction) so the field spans specialist+mid+top.,"OA subset thin pre-2008 (D4); draw OA-accessible subset, fold OA into weight.",COMPLETED: P0619-P0628 (10) via round_20260621_p1_nn_compneuro_top_2005_2014,
tier_fix,P1,Computational neuroscience,2015-present,mid,Journal of Neuroscience,must_build,0,10,10,verify@inventory,green/PMC,pending,direct->browser->PMC,YES,Build inventory; draw 10,"Same field, modern era; mid-tier companion to Frontiers.",,COMPLETED: P0609-P0618 (10) via round_20260621_p1_jneuro_compneuro_mid_2015_present,
tier_fix,P1,Computational neuroscience,2015-present,top,Nature Neuroscience,must_build,0,10,10,verify@inventory,hybrid/archive,pending,direct->browser->PMC,YES (top; completes 3-tier span),Build inventory; draw 10 from OA-accessible subset,Deep specialist field; add TOP tier (per direction) so the field spans specialist+mid+top.,,COMPLETED: P0629-P0638 (10) via round_20260621_p1_nn_compneuro_top_2015_present,
tier_fix,P1,ML / AI methods proper,2015-present,mid,Transactions on Machine Learning Research (TMLR),must_build,0,10,10,verify@inventory,gold,pending,direct->browser,YES,"Verify coverage (TMLR 2022+); if too thin, substitute a mid/specialist ML venue; draw 10","ML is top-only (45, NeurIPS/JMLR/ICLR); add a non-top tier.",TMLR only exists 2022+; mid/specialist OA ML venues are scarce — flag for substitution if frame too thin.,COMPLETED: P0589-P0598 (10) via round_20260621_p1_tmlr_ml_mid_2015_present,
