rating_id,paper_id,judge_round_id,rubric_version,significance_dependence,prediction_dependence,high_dimensional_search,flexible_pipeline,weak_mechanism,local_validation,limited_intervention,total,confidence,reviewed_full_text,blinded_to_stratum,blinded_to_outcomes,blinded_to_prior_ratings,rationale,created_date
sir_codex_seed_0001,A0001,jr_codex_initial_round_001,v0.1-pilot,0,0,0,0,0,0,1,1,medium,false,false,true,true,Not statistically dependent; limited-intervention flag reflects paper form.,2026-06-19
sir_codex_seed_0002,A0002,jr_codex_initial_round_001,v0.1-pilot,0,0,0,0,0,0,0,0,high,false,false,true,true,Not dependent on statistical certification.,2026-06-19
sir_codex_seed_0003,A0003,jr_codex_initial_round_001,v0.1-pilot,0,0,0,0,0,1,0,1,medium,false,false,true,true,Some organism/context locality but not a statistical-search paper.,2026-06-19
sir_codex_seed_0004,A0004,jr_codex_initial_round_001,v0.1-pilot,0,0,0,0,0,0,1,1,medium,false,false,true,true,Structural measurement more than statistical induction.,2026-06-19
sir_codex_seed_0005,B0001,jr_codex_initial_round_001,v0.1-pilot,0,0,0,0,0,0,2,2,medium,false,false,true,true,Failed structural conjecture; statistical dependence is not the issue.,2026-06-19
sir_codex_seed_0006,B0002,jr_codex_initial_round_001,v0.1-pilot,0,0,0,0,0,0,0,0,low,false,false,true,true,"Again looks progress-like, not statistically inductivist.",2026-06-19
sir_codex_seed_0007,B0003,jr_codex_initial_round_001,v0.1-pilot,0,0,0,0,1,1,0,2,medium,false,false,true,true,Some mechanistic incompleteness and organism locality.,2026-06-19
sir_codex_seed_0008,B0004,jr_codex_initial_round_001,v0.1-pilot,0,0,0,0,0,0,1,1,low,false,false,true,true,Theory paper; limited direct intervention.,2026-06-19
sir_codex_seed_0009,C0001,jr_codex_initial_round_001,v0.1-pilot,0,2,2,1,1,0,2,8,medium,false,false,true,true,Prediction and benchmark success carry much of the claim.,2026-06-19
sir_codex_seed_0010,C0002,jr_codex_initial_round_001,v0.1-pilot,1,0,2,2,1,1,2,9,medium,false,false,true,true,High-dimensional atlas with limited perturbational testing.,2026-06-19
sir_codex_seed_0011,C0003,jr_codex_initial_round_001,v0.1-pilot,1,0,2,2,1,1,2,9,medium,false,false,true,true,High-dimensional atlas with limited perturbational testing.,2026-06-19
sir_codex_seed_0012,C0004,jr_codex_initial_round_001,v0.1-pilot,1,0,2,2,1,1,2,9,medium,false,false,true,true,"Disease atlas, observational and high-dimensional.",2026-06-19
sir_codex_seed_0013,D0001,jr_codex_initial_round_001,v0.1-pilot,2,0,2,1,1,1,2,9,medium,false,false,true,true,Gene-set statistics and high-dimensional expression interpretation are central.,2026-06-19
sir_codex_seed_0014,D0002,jr_codex_initial_round_001,v0.1-pilot,1,1,2,1,1,1,1,8,medium,false,false,true,true,"Signature matching is central, though perturbational data add causal texture.",2026-06-19
sir_codex_seed_0015,D0003,jr_codex_initial_round_001,v0.1-pilot,0,0,2,1,0,1,2,6,medium,false,false,true,true,Tool generates high-dimensional data; main claim is infrastructure.,2026-06-19
sir_codex_seed_0016,D0004,jr_codex_initial_round_001,v0.1-pilot,2,0,2,2,1,1,2,10,medium,false,false,true,true,Statistical genetics method with many modeling and annotation choices.,2026-06-19
