paper_id,primary_classification,secondary_classifications,classification_confidence,classification_notes
A0001,Causal mechanism,"Descriptive ontology",medium,"Structural model proposed as an explanatory abstraction; no direct experiment in the short paper."
A0002,Severe test of a theory,"Causal mechanism; Intervention result",high,"Experiment directly distinguishes semiconservative replication from rival replication models."
A0003,Intervention result,"Causal mechanism; Severe test of a theory",medium,"Double-stranded RNA manipulation is central; mechanism partly specified but not fully developed."
A0004,Descriptive ontology,"Severe test of a theory",medium,"Identifies quasiperiodic order from diffraction evidence; mechanism of formation is less central."
B0001,Descriptive ontology,"Causal mechanism",medium,"A high-commitment structural conjecture that is useful as a failed-abstraction comparator."
B0002,Intervention result,"Severe test of a theory; Causal mechanism",low,"May be too progress-like to serve as a control; retained to force matching-rule review."
B0003,Causal mechanism,"Intervention result",medium,"Genetic perturbation and localization are central; mechanistic abstraction is biologically grounded."
B0004,Descriptive ontology,"Causal mechanism",low,"May be a theoretical companion/uptake paper rather than a true control."
C0001,Tool or infrastructure,"Statistical regularity",high,"Prediction benchmark and reusable computational system; causal biological mechanism is not the central contribution."
C0002,Descriptive ontology,"Statistical regularity; Tool or infrastructure",high,"Atlas/taxonomy of human cell types across organs."
C0003,Descriptive ontology,"Statistical regularity; Tool or infrastructure",high,"Atlas/taxonomy of mouse organs at single-cell resolution."
C0004,Descriptive ontology,"Statistical regularity",medium,"Disease-state single-cell atlas with observational immune patterns."
D0001,Tool or infrastructure,"Statistical regularity",high,"Method for interpreting expression signatures through gene sets."
D0002,Tool or infrastructure,"Statistical regularity; Intervention result",medium,"Signature-matching resource built from perturbational expression profiles."
D0003,Tool or infrastructure,"Descriptive ontology",high,"Experimental/computational platform enabling single-cell expression profiling."
D0004,Statistical regularity,"Tool or infrastructure",high,"Statistical genetics method for partitioning heritability by annotation."

