item_id,trap_type,target_dimension,expected_cp_risky_prediction,expected_cp_rival_elimination,expected_cp_generative_structure,expected_cp_counterfactual_intervention,expected_cp_assumption_vulnerability,expected_si_terminal_certification,expected_si_association_framing,expected_si_accumulation_progress,expected_cp_theory_relative_contrast,decision_boundary,note
C01,rhetoric_without_move,cp_risky_prediction,1,,,,,4,3,,,cp_risky_prediction must be 0-1 not 3-4,Refutes only a statistical null; warrant terminates in p/FDR.
C02,move_without_vocab,cp_risky_prediction;cp_rival_elimination,4,4,,,,0,,,,cp markers must be 3-4 despite no Popperian vocabulary,Severe test discriminating replication models; no keyword present.
C03,negation_attribution,cp_risky_prediction;cp_generative_structure,0,,0,,,,3,2,,cp targets must be 0 despite marker words present,Marker words appear inside an explicit disclaimer.
C04,field_dialect,si_terminal_certification;cp_rival_elimination,3,3,,,,2,,,,si_terminal must NOT be 4; certification is instrumental,Physics 5-sigma exclude in service of a severe test.
C05,rhetoric_without_move,cp_generative_structure,,,1,,,1,4,,,cp_generative_structure must be 0-1 not 3-4,"'drives/target' as labels over a fitted signature. si_terminal softened 2->1: no explicit certification statistic in the snippet, so the dimension is genuinely ambiguous here; C05's graded purpose is the cp_generative_structure rhetoric trap."
C06,boilerplate_limitations,cp_assumption_vulnerability,,,,,1,,,,,cp_assumption_vulnerability must be 0-1 with occasion=1,"Generic limitations, not a load-bearing failure condition."
C07,move_without_vocab,cp_assumption_vulnerability,,,2,,4,,,,,cp_assumption_vulnerability must be 3-4,Names load-bearing assumption + exact invalidating condition.
C08,rhetoric_without_move,cp_counterfactual_intervention,,,,1,,,3,,,cp_counterfactual_intervention must be 0-1 with occasion=1,Intervention deferred to future work; reasons only over correlations.
C09,move_without_vocab,cp_counterfactual_intervention,,3,,4,,,0,,,cp_counterfactual_intervention must be 3-4,Predicted differential under manipulation is the crux; controls as contrast.
C10,field_dialect,si_terminal_certification,,,0,,,4,4,,,si_terminal_certification must be 4,Warrant terminates in held-out AUC/benchmark; contrast with C04.
C11,rhetoric_without_move,cp_theory_relative_contrast,,,,,,,,,1,cp_theory_relative_contrast must be 0-1 not 3-4,"Novelty rhetoric ('surprisingly', 'contrary to expectation') with no specified incumbent frame and no stated proposed-frame expectedness; one-sided at most."
C12,move_without_vocab,cp_theory_relative_contrast,,,,,,,,,4,cp_theory_relative_contrast must be 3-4 despite no novelty vocabulary,"States the result is unlikely under named rival frame(s) yet expected under the proposed generative account, discriminating against the live rival set; no 'surprising'/'novel' wording."
