source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Journal of Neuroscience,journal_of_neuroscience_v35_i1,2015,35,1,10.1523/jneurosci.4994-13.2015,,https://openalex.org/W1969233644,Cortical State Determines Global Variability and Correlations in Visual Cortex,Marieke L. Schölvinck; Aman B. Saleem; Andrea Benucci; Kenneth D. Harris; Matteo Carandini,article,bronze,https://www.jneurosci.org/content/jneuro/35/1/170.full.pdf,https://www.jneurosci.org/content/jneuro/35/1/170.full.pdf,https://doi.org/10.1523/jneurosci.4994-13.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i1,2015,35,1,10.1523/jneurosci.0594-14.2015,,https://openalex.org/W2118465022,Imaging the Awake Visual Cortex with a Genetically Encoded Voltage Indicator,Matteo Carandini; Daisuke Shimaoka; L. Federico Rossi; Tatsuo K. Sato; Andrea Benucci; Thomas Knöpfel,article,hybrid,https://www.jneurosci.org/content/jneuro/35/1/53.full.pdf,https://www.jneurosci.org/content/jneuro/35/1/53.full.pdf,https://doi.org/10.1523/jneurosci.0594-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i10,2015,35,10,10.1523/jneurosci.2451-14.2015,,https://openalex.org/W2090544951,Representation of Accumulating Evidence for a Decision in Two Parietal Areas,Víctor de Lafuente; Mehrdad Jazayeri; Michael N. Shadlen,article,bronze,https://www.jneurosci.org/content/jneuro/35/10/4306.full.pdf,https://www.jneurosci.org/content/jneuro/35/10/4306.full.pdf,https://doi.org/10.1523/jneurosci.2451-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i10,2015,35,10,10.1523/jneurosci.3671-14.2015,,https://openalex.org/W2074427327,Persistent Discharges in Dentate Gyrus Perisoma-Inhibiting Interneurons Require Hyperpolarization-Activated Cyclic Nucleotide-Gated Channel Activation,Claudio Elgueta; J. Kohler; Marlene Bartos,article,bronze,https://www.jneurosci.org/content/jneuro/35/10/4131.full.pdf,https://www.jneurosci.org/content/jneuro/35/10/4131.full.pdf,https://doi.org/10.1523/jneurosci.3671-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i10,2015,35,10,10.1523/jneurosci.4253-14.2015,,https://openalex.org/W2048986771,Local Population Synchrony and the Encoding of Eye Position in the Primate Neural Integrator,Alexis Dale; Kathleen E. Cullen,article,bronze,https://www.jneurosci.org/content/jneuro/35/10/4287.full.pdf,https://www.jneurosci.org/content/jneuro/35/10/4287.full.pdf,https://doi.org/10.1523/jneurosci.4253-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i11,2015,35,11,10.1523/jneurosci.3694-14.2015,,https://openalex.org/W1969256747,Cascades and Cognitive State: Focused Attention Incurs Subcritical Dynamics,Erik D. Fagerholm et al.,article,bronze,https://www.jneurosci.org/content/jneuro/35/11/4626.full.pdf,https://www.jneurosci.org/content/jneuro/35/11/4626.full.pdf,https://doi.org/10.1523/jneurosci.3694-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i11,2015,35,11,10.1523/jneurosci.4509-14.2015,,https://openalex.org/W1996657129,Emergence of Complex Wave Patterns in Primate Cerebral Cortex,Rory G. Townsend et al.,article,bronze,https://www.jneurosci.org/content/jneuro/35/11/4657.full.pdf,https://www.jneurosci.org/content/jneuro/35/11/4657.full.pdf,https://doi.org/10.1523/jneurosci.4509-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i11,2015,35,11,10.1523/jneurosci.4673-14.2015,,https://openalex.org/W1997649998,Temporal Dynamics of L5 Dendrites in Medial Prefrontal Cortex Regulate Integration Versus Coincidence Detection of Afferent Inputs,Nikolai Dembrow; Boris V. Zemelman; Daniel Johnston,article,bronze,https://www.jneurosci.org/content/jneuro/35/11/4501.full.pdf,https://www.jneurosci.org/content/jneuro/35/11/4501.full.pdf,https://doi.org/10.1523/jneurosci.4673-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i11,2015,35,11,10.1523/jneurosci.2339-14.2015,,https://openalex.org/W2083150186,Long-Latency Reductions in Gamma Power Predict Hemodynamic Changes That Underlie the Negative BOLD Signal,Luke Boorman et al.,article,bronze,https://www.jneurosci.org/content/jneuro/35/11/4641.full.pdf,https://www.jneurosci.org/content/jneuro/35/11/4641.full.pdf,https://doi.org/10.1523/jneurosci.2339-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i11,2015,35,11,10.1523/jneurosci.2292-14.2015,,https://openalex.org/W1993990009,A Trade-Off between Somatosensory and Auditory Related Brain Activity during Object Naming But Not Reading,Mohamed L. Seghier; Thomas M.H. Hope; Susan Prejawa; Ōiwi Parker Jones; Melanie Vitkovitch; Cathy J. Price,article,bronze,https://www.jneurosci.org/content/jneuro/35/11/4751.full.pdf,https://www.jneurosci.org/content/jneuro/35/11/4751.full.pdf,https://doi.org/10.1523/jneurosci.2292-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i12,2015,35,12,10.1523/jneurosci.4000-14.2015,,https://openalex.org/W2016990961,Input-Gain Control Produces Feature-Specific Surround Suppression,Alexander Trott; Richard T. Born,article,bronze,https://www.jneurosci.org/content/jneuro/35/12/4973.full.pdf,https://www.jneurosci.org/content/jneuro/35/12/4973.full.pdf,https://doi.org/10.1523/jneurosci.4000-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i13,2015,35,13,10.1523/jneurosci.4880-14.2015,,https://openalex.org/W2037416266,Relationship of Fast- and Slow-Timescale Neuronal Dynamics in Human MEG and SEEG,Alexander Zhigalov; Gabriele Arnulfo; Lino Nobili; Satu Palva; J. Matias Palva,article,bronze,https://www.jneurosci.org/content/jneuro/35/13/5385.full.pdf,https://www.jneurosci.org/content/jneuro/35/13/5385.full.pdf,https://doi.org/10.1523/jneurosci.4880-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i14,2015,35,14,10.1523/jneurosci.4259-14.2015,,https://openalex.org/W2105475977,Emergence of Rich-Club Topology and Coordinated Dynamics in Development of Hippocampal Functional Networks<i>In Vitro</i>,Manuel S. Schroeter; Paul Charlesworth; Manfred G. Kitzbichler; Ole Paulsen; Edward T. Bullmore,article,bronze,https://www.jneurosci.org/content/jneuro/35/14/5459.full.pdf,https://www.jneurosci.org/content/jneuro/35/14/5459.full.pdf,https://doi.org/10.1523/jneurosci.4259-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i14,2015,35,14,10.1523/jneurosci.3603-14.2015,,https://openalex.org/W2162270152,A Distinct Class of Slow (∼0.2–2 Hz) Intrinsically Bursting Layer 5 Pyramidal Neurons Determines UP/DOWN State Dynamics in the Neocortex,Magor L. Lörincz et al.,article,bronze,https://www.jneurosci.org/content/jneuro/35/14/5442.full.pdf,https://www.jneurosci.org/content/jneuro/35/14/5442.full.pdf,https://doi.org/10.1523/jneurosci.3603-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i14,2015,35,14,10.1523/jneurosci.2891-14.2015,,https://openalex.org/W2141472540,Oscillatory Recruitment of Bilateral Visual Cortex during Spatial Attention to Competing Rhythmic Inputs,Michael J. Gray; Hans‐Peter Frey; Tommy J. Wilson; John J. Foxe,article,bronze,https://www.jneurosci.org/content/jneuro/35/14/5489.full.pdf,https://www.jneurosci.org/content/jneuro/35/14/5489.full.pdf,https://doi.org/10.1523/jneurosci.2891-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i15,2015,35,15,10.1523/jneurosci.3806-14.2015,,https://openalex.org/W1995950936,Imperceptible Somatosensory Stimulation Alters Sensorimotor Background Rhythm and Connectivity,Till Nierhaus et al.,article,bronze,https://www.jneurosci.org/content/jneuro/35/15/5917.full.pdf,https://www.jneurosci.org/content/jneuro/35/15/5917.full.pdf,https://doi.org/10.1523/jneurosci.3806-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i15,2015,35,15,10.1523/jneurosci.3876-14.2015,,https://openalex.org/W2118344162,Microsecond-Scale Timing Precision in Rodent Trigeminal Primary Afferents,Michael R. Bale; Dario Campagner; Andrew Erskine; Rasmus S. Petersen,article,bronze,https://www.jneurosci.org/content/jneuro/35/15/5935.full.pdf,https://www.jneurosci.org/content/jneuro/35/15/5935.full.pdf,https://doi.org/10.1523/jneurosci.3876-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i16,2015,35,16,10.1523/jneurosci.4051-14.2015,,https://openalex.org/W1976491488,Cortical Synaptic Inhibition Declines during Auditory Learning,Emma C. Sarro; Gardiner von Trapp; Todd M. Mowery; Vibhakar C. Kotak; Dan H. Sanes,article,bronze,https://www.jneurosci.org/content/jneuro/35/16/6318.full.pdf,https://www.jneurosci.org/content/jneuro/35/16/6318.full.pdf,https://doi.org/10.1523/jneurosci.4051-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i16,2015,35,16,10.1523/jneurosci.0971-14.2015,,https://openalex.org/W2002596563,Population Responses in V1 Encode Different Figures by Response Amplitude,Ariel Gilad; Hamutal Slovin,article,bronze,https://www.jneurosci.org/content/jneuro/35/16/6335.full.pdf,https://www.jneurosci.org/content/jneuro/35/16/6335.full.pdf,https://doi.org/10.1523/jneurosci.0971-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i17,2015,35,17,10.1523/jneurosci.5049-14.2015,,https://openalex.org/W2056046151,Callosal Projections Drive Neuronal-Specific Responses in the Mouse Auditory Cortex,Crystal Rock; Alfonso junior Apicella,article,bronze,https://www.jneurosci.org/content/jneuro/35/17/6703.full.pdf,https://www.jneurosci.org/content/jneuro/35/17/6703.full.pdf,https://doi.org/10.1523/jneurosci.5049-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i17,2015,35,17,10.1523/jneurosci.3590-14.2015,,https://openalex.org/W2035794042,Spike Synchrony Reveals Emergence of Proto-Objects in Visual Cortex,Anne B. Martin; R. von der Heydt,article,bronze,https://www.jneurosci.org/content/jneuro/35/17/6860.full.pdf,https://www.jneurosci.org/content/jneuro/35/17/6860.full.pdf,https://doi.org/10.1523/jneurosci.3590-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i18,2015,35,18,10.1523/jneurosci.4568-14.2015,,https://openalex.org/W1672942881,Rhythmic Oscillations of Visual Contrast Sensitivity Synchronized with Action,Alice Tomassini; Donatella Spinelli; Marco Jacono; Giulio Sandini; Maria Concetta Morrone,article,bronze,https://www.jneurosci.org/content/jneuro/35/18/7019.full.pdf,https://www.jneurosci.org/content/jneuro/35/18/7019.full.pdf,https://doi.org/10.1523/jneurosci.4568-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i18,2015,35,18,10.1523/jneurosci.3924-14.2015,,https://openalex.org/W1901168781,Neuronal Morphology Generates High-Frequency Firing Resonance,Srdjan Ostojic; Germán Szapiro; Eric Schwartz; Boris Barbour; Nicolas Brunel; Vincent Hakim,article,bronze,https://www.jneurosci.org/content/jneuro/35/18/7056.full.pdf,https://www.jneurosci.org/content/jneuro/35/18/7056.full.pdf,https://doi.org/10.1523/jneurosci.3924-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i18,2015,35,18,10.1523/jneurosci.4358-14.2015,,https://openalex.org/W1905604720,Faithful Representation of Tactile Intensity under Different Contexts Emerges from the Distinct Adaptive Properties of the First Somatosensory Relay Stations,Boaz Mohar; Elad Ganmor; Ilan Lampl,article,bronze,https://www.jneurosci.org/content/jneuro/35/18/6997.full.pdf,https://www.jneurosci.org/content/jneuro/35/18/6997.full.pdf,https://doi.org/10.1523/jneurosci.4358-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i19,2015,35,19,10.1523/jneurosci.4094-14.2015,,https://openalex.org/W1919569760,Task Engagement Selectively Modulates Neural Correlations in Primary Auditory Cortex,Joshua D. Downer; Mamiko Niwa; Mitchell L. Sutter,article,bronze,https://www.jneurosci.org/content/jneuro/35/19/7565.full.pdf,https://www.jneurosci.org/content/jneuro/35/19/7565.full.pdf,https://doi.org/10.1523/jneurosci.4094-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i2,2015,35,2,10.1523/jneurosci.2036-14.2015,,https://openalex.org/W1983818070,fMRI and EEG Predictors of Dynamic Decision Parameters during Human Reinforcement Learning,Michael J. Frank et al.,article,bronze,https://www.jneurosci.org/content/jneuro/35/2/485.full.pdf,https://www.jneurosci.org/content/jneuro/35/2/485.full.pdf,https://doi.org/10.1523/jneurosci.2036-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i2,2015,35,2,10.1523/jneurosci.4001-14.2015,,https://openalex.org/W1982167876,Cholinergic Control of Gamma Power in the Midbrain Spatial Attention Network,Astra S. Bryant; C. Alex Goddard; John R. Huguenard; Eric I. Knudsen,article,bronze,https://www.jneurosci.org/content/jneuro/35/2/761.full.pdf,https://www.jneurosci.org/content/jneuro/35/2/761.full.pdf,https://doi.org/10.1523/jneurosci.4001-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i20,2015,35,20,10.1523/jneurosci.0173-15.2015,,https://openalex.org/W1546493181,Neurons in the Most Superficial Lamina of the Mouse Superior Colliculus Are Highly Selective for Stimulus Direction,Samsoon Inayat; Jad Barchini; Hui Chen; Liang Feng; Xiaorong Liu; Jianhua Cang,article,bronze,https://www.jneurosci.org/content/jneuro/35/20/7992.full.pdf,https://www.jneurosci.org/content/jneuro/35/20/7992.full.pdf,https://doi.org/10.1523/jneurosci.0173-15.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i20,2015,35,20,10.1523/jneurosci.0268-15.2015,,https://openalex.org/W2140988518,Rhythmic Auditory Cortex Activity at Multiple Timescales Shapes Stimulus–Response Gain and Background Firing,Christoph Kayser; Caroline A. Wilson; Houman Safaai; Shuzo Sakata; Stefano Panzeri,article,hybrid,https://www.jneurosci.org/content/jneuro/35/20/7750.full.pdf,https://www.jneurosci.org/content/jneuro/35/20/7750.full.pdf,https://doi.org/10.1523/jneurosci.0268-15.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i21,2015,35,21,10.1523/jneurosci.4819-14.2015,,https://openalex.org/W1867894663,Dynamics of Multistable States during Ongoing and Evoked Cortical Activity,Luca Mazzucato; Alfredo Fontanini; Giancarlo La Camera,article,bronze,https://www.jneurosci.org/content/jneuro/35/21/8214.full.pdf,https://www.jneurosci.org/content/jneuro/35/21/8214.full.pdf,https://doi.org/10.1523/jneurosci.4819-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i21,2015,35,21,10.1523/jneurosci.4738-14.2015,,https://openalex.org/W1910536141,Nonlinear Transfer of Signal and Noise Correlations in Cortical Networks,Dmitry R. Lyamzin; Samuel J. Barnes; R. J. Donato; Jose A. Garcia‐Lazaro; Tara Keck; Nicholas A. Lesica,article,hybrid,https://www.jneurosci.org/content/jneuro/35/21/8065.full.pdf,https://www.jneurosci.org/content/jneuro/35/21/8065.full.pdf,https://doi.org/10.1523/jneurosci.4738-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i21,2015,35,21,10.1523/jneurosci.4299-14.2015,,https://openalex.org/W1655459418,Skipped-Stimulus Approach Reveals That Short-Term Plasticity Dominates Synaptic Strength during Ongoing Activity,Hua Yang; Matthew A. Xu‐Friedman,article,bronze,https://www.jneurosci.org/content/jneuro/35/21/8297.full.pdf,https://www.jneurosci.org/content/jneuro/35/21/8297.full.pdf,https://doi.org/10.1523/jneurosci.4299-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i22,2015,35,22,10.1523/jneurosci.4527-14.2015,,https://openalex.org/W1562975277,Neuro-Oscillatory Phase Alignment Drives Speeded Multisensory Response Times: An Electro-Corticographic Investigation,Manuel Mercier; Sophie Molholm; Ian C. Fiebelkorn; John S. Butler; Theodore H. Schwartz; John J. Foxe,article,bronze,https://www.jneurosci.org/content/jneuro/35/22/8546.full.pdf,https://www.jneurosci.org/content/jneuro/35/22/8546.full.pdf,https://doi.org/10.1523/jneurosci.4527-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i22,2015,35,22,10.1523/jneurosci.4421-14.2015,,https://openalex.org/W1571043881,Sloppiness in Spontaneously Active Neuronal Networks,Dagmara Panas et al.,article,bronze,https://www.jneurosci.org/content/jneuro/35/22/8480.full.pdf,https://www.jneurosci.org/content/jneuro/35/22/8480.full.pdf,https://doi.org/10.1523/jneurosci.4421-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i22,2015,35,22,10.1523/jneurosci.4536-14.2015,,https://openalex.org/W1707255773,Role of Input Correlations in Shaping the Variability and Noise Correlations of Evoked Activity in the Neocortex,Alejandro F. Bujan; Ad Aertsen; Arvind Kumar,article,bronze,https://www.jneurosci.org/content/jneuro/35/22/8611.full.pdf,https://www.jneurosci.org/content/jneuro/35/22/8611.full.pdf,https://doi.org/10.1523/jneurosci.4536-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i23,2015,35,23,10.1523/jneurosci.5214-14.2015,,https://openalex.org/W1807150405,Endogenous Sequential Cortical Activity Evoked by Visual Stimuli,Luis Carrillo‐Reid; J.-e. K. Miller; Jordan P. Hamm; Jesse Jackson; Rafael Yuste,article,hybrid,https://www.jneurosci.org/content/jneuro/35/23/8813.full.pdf,https://www.jneurosci.org/content/jneuro/35/23/8813.full.pdf,https://doi.org/10.1523/jneurosci.5214-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i23,2015,35,23,10.1523/jneurosci.4975-14.2015,,https://openalex.org/W1504798403,Vision Loss Shifts the Balance of Feedforward and Intracortical Circuits in Opposite Directions in Mouse Primary Auditory and Visual Cortices,Emily Petrus; Gabriela Rodrı́guez; Ryan Patterson; Blaine Connor; Patrick O. Kanold; Hey‐Kyoung Lee,article,bronze,https://www.jneurosci.org/content/jneuro/35/23/8790.full.pdf,https://www.jneurosci.org/content/jneuro/35/23/8790.full.pdf,https://doi.org/10.1523/jneurosci.4975-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i23,2015,35,23,10.1523/jneurosci.4149-14.2015,,https://openalex.org/W1529131988,Motion Makes Sense: An Adaptive Motor-Sensory Strategy Underlies the Perception of Object Location in Rats,Inbar Saraf‐Sinik; Eldad Assa; Ehud Ahissar,article,bronze,https://www.jneurosci.org/content/jneuro/35/23/8777.full.pdf,https://www.jneurosci.org/content/jneuro/35/23/8777.full.pdf,https://doi.org/10.1523/jneurosci.4149-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i23,2015,35,23,10.1523/jneurosci.5041-14.2015,,https://openalex.org/W1677332013,Copula Regression Analysis of Simultaneously Recorded Frontal Eye Field and Inferotemporal Spiking Activity during Object-Based Working Memory,Meng Hu et al.,article,bronze,https://www.jneurosci.org/content/jneuro/35/23/8745.full.pdf,https://www.jneurosci.org/content/jneuro/35/23/8745.full.pdf,https://doi.org/10.1523/jneurosci.5041-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i24,2015,35,24,10.1523/jneurosci.0870-15.2015,,https://openalex.org/W1491902949,Substance P Weights Striatal Dopamine Transmission Differently within the Striosome-Matrix Axis,Katherine R. Brimblecombe; Stephanie J. Cragg,article,bronze,https://www.jneurosci.org/content/jneuro/35/24/9017.full.pdf,https://www.jneurosci.org/content/jneuro/35/24/9017.full.pdf,https://doi.org/10.1523/jneurosci.0870-15.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i24,2015,35,24,10.1523/jneurosci.4232-14.2015,,https://openalex.org/W2162095011,Static Magnetic Field Stimulation over the Visual Cortex Increases Alpha Oscillations and Slows Visual Search in Humans,Javier J. González-Rosa et al.,article,bronze,https://www.jneurosci.org/content/jneuro/35/24/9182.full.pdf,https://www.jneurosci.org/content/jneuro/35/24/9182.full.pdf,https://doi.org/10.1523/jneurosci.4232-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i24,2015,35,24,10.1523/jneurosci.1041-15.2015,,https://openalex.org/W1580472465,Single-Trial Decoding of Visual Attention from Local Field Potentials in the Primate Lateral Prefrontal Cortex Is Frequency-Dependent,Sébastien Tremblay; Guillaume Doucet; Florian Pieper; Adam Sachs; Julio Martínez-Trujillo,article,bronze,https://www.jneurosci.org/content/jneuro/35/24/9038.full.pdf,https://www.jneurosci.org/content/jneuro/35/24/9038.full.pdf,https://doi.org/10.1523/jneurosci.1041-15.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i24,2015,35,24,10.1523/jneurosci.4583-14.2015,,https://openalex.org/W1751233477,Delayed and Temporally Imprecise Neurotransmission in Reorganizing Cortical Microcircuits,Samuel J. Barnes et al.,article,hybrid,https://www.jneurosci.org/content/jneuro/35/24/9024.full.pdf,https://www.jneurosci.org/content/jneuro/35/24/9024.full.pdf,https://doi.org/10.1523/jneurosci.4583-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i25,2015,35,25,10.1523/jneurosci.0027-15.2015,,https://openalex.org/W1518805832,Complex Effects on In Vivo Visual Responses by Specific Projections from Mouse Cortical Layer 6 to Dorsal Lateral Geniculate Nucleus,Daniel J. Denman; Diego Contreras,article,bronze,https://www.jneurosci.org/content/jneuro/35/25/9265.full.pdf,https://www.jneurosci.org/content/jneuro/35/25/9265.full.pdf,https://doi.org/10.1523/jneurosci.0027-15.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i26,2015,35,26,10.1523/jneurosci.0296-15.2015,,https://openalex.org/W1534689113,Theta Oscillations in Visual Cortex Emerge with Experience to Convey Expected Reward Time and Experienced Reward Rate,Camila L. Zold; Marshall G. Hussain Shuler,article,bronze,https://www.jneurosci.org/content/jneuro/35/26/9603.full.pdf,https://www.jneurosci.org/content/jneuro/35/26/9603.full.pdf,https://doi.org/10.1523/jneurosci.0296-15.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i27,2015,35,27,10.1523/jneurosci.5023-14.2015,,https://openalex.org/W1715013381,Deep Neural Networks Reveal a Gradient in the Complexity of Neural Representations across the Ventral Stream,U. Guclu; Marcel van Gerven,article,bronze,https://www.jneurosci.org/content/jneuro/35/27/10005.full.pdf,https://www.jneurosci.org/content/jneuro/35/27/10005.full.pdf,https://doi.org/10.1523/jneurosci.5023-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i27,2015,35,27,10.1523/jneurosci.4007-14.2015,,https://openalex.org/W1593602505,Evolution of Network Synchronization during Early Epileptogenesis Parallels Synaptic Circuit Alterations,Kyle P. Lillis et al.,article,bronze,https://www.jneurosci.org/content/jneuro/35/27/9920.full.pdf,https://www.jneurosci.org/content/jneuro/35/27/9920.full.pdf,https://doi.org/10.1523/jneurosci.4007-14.2015
Journal of Neuroscience,journal_of_neuroscience_v35_i27,2015,35,27,10.1523/jneurosci.3920-14.2015,,https://openalex.org/W1905601083,Visual Learning Induces Changes in Resting-State fMRI Multivariate Pattern of Information,Roberto Guidotti; Cosimo Del Gratta; Antonello Baldassarre; Gian Luca Romani; Maurizio Corbetta,article,bronze,https://www.jneurosci.org/content/jneuro/35/27/9786.full.pdf,https://www.jneurosci.org/content/jneuro/35/27/9786.full.pdf,https://doi.org/10.1523/jneurosci.3920-14.2015
