source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Cognitive Research: Principles and Implications,cognitive_research_pi_v1_i1,2016,1,1,10.1186/s41235-016-0031-6,,https://openalex.org/W2560277832,Creating visual explanations improves learning,Eliza Bobek; Barbara Tversky,article,gold,https://cognitiveresearchjournal.springeropen.com/track/pdf/10.1186/s41235-016-0031-6,https://link.springer.com/content/pdf/10.1186/s41235-016-0031-6.pdf,https://doi.org/10.1186/s41235-016-0031-6
Cognitive Research: Principles and Implications,cognitive_research_pi_v1_i1,2016,1,1,10.1186/s41235-016-0034-3,,https://openalex.org/W2562072234,Making sense of movement in embodied design for mathematics learning,Dor Abrahamson; Arthur Bakker,article,gold,https://cognitiveresearchjournal.springeropen.com/track/pdf/10.1186/s41235-016-0034-3,https://link.springer.com/content/pdf/10.1186/s41235-016-0034-3.pdf,https://doi.org/10.1186/s41235-016-0034-3
Cognitive Research: Principles and Implications,cognitive_research_pi_v1_i1,2016,1,1,10.1186/s41235-016-0004-9,,https://openalex.org/W2522300916,From hands to minds: Gestures promote understanding,Seokmin Kang; Barbara Tversky,article,gold,https://cognitiveresearchjournal.springeropen.com/track/pdf/10.1186/s41235-016-0004-9,https://link.springer.com/content/pdf/10.1186/s41235-016-0004-9.pdf,https://doi.org/10.1186/s41235-016-0004-9
Cognitive Research: Principles and Implications,cognitive_research_pi_v1_i1,2016,1,1,10.1186/s41235-016-0018-3,,https://openalex.org/W2556728813,Talking to your car can drive you to distraction,David L. Strayer; Joel M. Cooper; Jonna Turrill; James R. Coleman; Rachel J. Hopman,article,gold,https://cognitiveresearchjournal.springeropen.com/track/pdf/10.1186/s41235-016-0018-3,https://link.springer.com/content/pdf/10.1186/s41235-016-0018-3.pdf,https://doi.org/10.1186/s41235-016-0018-3
Cognitive Research: Principles and Implications,cognitive_research_pi_v1_i1,2016,1,1,10.1186/s41235-016-0002-y,,https://openalex.org/W2521281244,Learning to interpret topographic maps: Understanding layered spatial information,Kinnari Atit; Steven M. Weisberg; Nora S. Newcombe; Thomas F. Shipley,article,gold,https://cognitiveresearchjournal.springeropen.com/track/pdf/10.1186/s41235-016-0002-y,https://link.springer.com/content/pdf/10.1186/s41235-016-0002-y.pdf,https://doi.org/10.1186/s41235-016-0002-y
Cognitive Research: Principles and Implications,cognitive_research_pi_v1_i1,2016,1,1,10.1186/s41235-016-0029-0,,https://openalex.org/W2567701164,The evolution of pace in popular movies,James E. Cutting,article,gold,https://cognitiveresearchjournal.springeropen.com/track/pdf/10.1186/s41235-016-0029-0,https://link.springer.com/content/pdf/10.1186/s41235-016-0029-0.pdf,https://doi.org/10.1186/s41235-016-0029-0
Cognitive Research: Principles and Implications,cognitive_research_pi_v1_i1,2016,1,1,10.1186/s41235-016-0026-3,,https://openalex.org/W2560787043,Leveling the playing field: Grounding learning with embedded simulations in geoscience,Allison J. Jaeger; Jennifer Wiley; Thomas G. Moher,article,gold,https://cognitiveresearchjournal.springeropen.com/track/pdf/10.1186/s41235-016-0026-3,https://link.springer.com/content/pdf/10.1186/s41235-016-0026-3.pdf,https://doi.org/10.1186/s41235-016-0026-3
Cognitive Research: Principles and Implications,cognitive_research_pi_v1_i1,2016,1,1,10.1186/s41235-016-0013-8,,https://openalex.org/W2543329197,Visual search behaviors of association football referees during assessment of foul play situations,Jochim Spitz; Koen Put; Johan Wagemans; A. Mark Williams; Werner Helsen,article,gold,https://cognitiveresearchjournal.springeropen.com/track/pdf/10.1186/s41235-016-0013-8,https://link.springer.com/content/pdf/10.1186/s41235-016-0013-8.pdf,https://doi.org/10.1186/s41235-016-0013-8
Cognitive Research: Principles and Implications,cognitive_research_pi_v1_i1,2016,1,1,10.1186/s41235-016-0006-7,,https://openalex.org/W2521930821,ROC curve analyses of eyewitness identification decisions: An analysis of the recent debate,Caren M. Rotello; Tina Chen,article,gold,https://cognitiveresearchjournal.springeropen.com/counter/pdf/10.1186/s41235-016-0006-7,https://link.springer.com/content/pdf/10.1186/s41235-016-0006-7.pdf,https://doi.org/10.1186/s41235-016-0006-7
Cognitive Research: Principles and Implications,cognitive_research_pi_v1_i1,2016,1,1,10.1186/s41235-016-0025-4,,https://openalex.org/W2563423389,“Special needs” is an ineffective euphemism,Morton Ann Gernsbacher; Adam R Raimond; M. Theresa Balinghasay; Jilana S Boston,article,gold,https://cognitiveresearchjournal.springeropen.com/track/pdf/10.1186/s41235-016-0025-4,https://link.springer.com/content/pdf/10.1186/s41235-016-0025-4.pdf,https://doi.org/10.1186/s41235-016-0025-4
Cognitive Research: Principles and Implications,cognitive_research_pi_v1_i1,2016,1,1,10.1186/s41235-016-0017-4,,https://openalex.org/W2552078186,Looming sounds are perceived as faster than receding sounds,John G. Neuhoff,article,gold,https://cognitiveresearchjournal.springeropen.com/track/pdf/10.1186/s41235-016-0017-4,https://link.springer.com/content/pdf/10.1186/s41235-016-0017-4.pdf,https://doi.org/10.1186/s41235-016-0017-4
Cognitive Research: Principles and Implications,cognitive_research_pi_v1_i1,2016,1,1,10.1186/s41235-016-0021-8,,https://openalex.org/W2559884561,Iconic faces are not real faces: enhanced emotion detection and altered neural processing as faces become more iconic,Lia Kendall; Quentin Raffaelli; Alan Kingstone; Rebecca M. Todd,article,gold,https://cognitiveresearchjournal.springeropen.com/track/pdf/10.1186/s41235-016-0021-8,https://link.springer.com/content/pdf/10.1186/s41235-016-0021-8.pdf,https://doi.org/10.1186/s41235-016-0021-8
