paper_id,field,source,inventory_id,era_band,draw_idx,seed,unit_id,unit_year,title,doi,eligible_units,eligible_papers_in_selected_unit,selection_probability,design_weight,acquisition_route,pdf_url,pdf_path,text_path,pdf_sha256,text_chars
P0374,Cognitive science / psychology,Behavior Research Methods,behavior_research_methods_openalex_cognitive_psychology_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,1,202606210101,behavior_research_methods_2022_v55_i3,2022,"Affective norms for emotional ambiguity in valence, origin, and activation spaces",10.3758/s13428-022-01865-w,94,12,0.000886524822695035,1128,direct_pdf_route,https://link.springer.com/content/pdf/10.3758/s13428-022-01865-w.pdf?error=cookies_not_supported&code=c420259c-0793-4304-b7b1-459e5e7a5980,corpus/pdfs/cognitive_science_psychology/P0374.pdf,corpus/text/cognitive_science_psychology/P0374.txt,b21d9ba76c582cba5b3e855ae72bba5b0a0893085202dfa71ea6a24b092a2bc1,72734
P0375,Cognitive science / psychology,Behavior Research Methods,behavior_research_methods_openalex_cognitive_psychology_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,2,202606210101,behavior_research_methods_2025_v57_i3,2025,PREVIC: An adaptive parent report measure of expressive vocabulary in children between 3 and 8 years of age,10.3758/s13428-025-02615-4,94,3,0.00354609929078014,282,direct_pdf_route,https://link.springer.com/content/pdf/10.3758/s13428-025-02615-4.pdf?error=cookies_not_supported&code=49e8ace0-3472-472c-a94d-7cf53574bd92,corpus/pdfs/cognitive_science_psychology/P0375.pdf,corpus/text/cognitive_science_psychology/P0375.txt,2a12f51c90aec3d1131f21100ec9e7c3c5781adab712f77eecba7ef2eef968ca,62345
P0376,Cognitive science / psychology,Behavior Research Methods,behavior_research_methods_openalex_cognitive_psychology_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,3,202606210101,behavior_research_methods_2024_v56_i8,2024,The brief mind wandering three-factor scale (BMW-3),10.3758/s13428-024-02500-6,94,12,0.000886524822695035,1128,direct_pdf_route,https://link.springer.com/content/pdf/10.3758/s13428-024-02500-6.pdf?error=cookies_not_supported&code=464352a2-caef-42c7-931a-0503ecd50ea7,corpus/pdfs/cognitive_science_psychology/P0376.pdf,corpus/text/cognitive_science_psychology/P0376.txt,afe157eff16e3721caab6269bc544ca2f3a3cfde4414ac6ffa3834ed78adca77,126778
P0377,Cognitive science / psychology,Behavior Research Methods,behavior_research_methods_openalex_cognitive_psychology_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,4,202606210101,behavior_research_methods_2025_v58_i1,2025,"SocioLex-CZ: Normative estimates for socio-semantic dimensions of meaning for 2,999 words and 1,000 images",10.3758/s13428-025-02907-9,94,8,0.00132978723404255,752,direct_pdf_route,https://link.springer.com/content/pdf/10.3758/s13428-025-02907-9.pdf?error=cookies_not_supported&code=33cfed0c-04ad-457c-a3c8-18210cf42154,corpus/pdfs/cognitive_science_psychology/P0377.pdf,corpus/text/cognitive_science_psychology/P0377.txt,d19148c71b29ae8ccb993a95f5a51afc7420fb4732f6f1a3d64f850bf2b65da1,90901
P0378,Cognitive science / psychology,Behavior Research Methods,behavior_research_methods_openalex_cognitive_psychology_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,5,202606210101,behavior_research_methods_2020_v52_i6,2020,Design choices: Empirical recommendations for designing two-dimensional finger-tracking experiments,10.3758/s13428-020-01409-0,94,6,0.00177304964539007,564,direct_pdf_route,https://link.springer.com/content/pdf/10.3758/s13428-020-01409-0.pdf?error=cookies_not_supported&code=64141b90-ac7c-4760-b736-f5499d7588c1,corpus/pdfs/cognitive_science_psychology/P0378.pdf,corpus/text/cognitive_science_psychology/P0378.txt,7468ff5531529f175fc11c64c0499d00a84bf5d9817826d192c61abd0906d06f,118714
P0379,Cognitive science / psychology,Behavior Research Methods,behavior_research_methods_openalex_cognitive_psychology_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,6,202606210101,behavior_research_methods_2023_v56_i5,2023,Social and non-social feedback stimuli lead to comparable levels of reward learning and reward responsiveness in an online probabilistic reward task,10.3758/s13428-023-02255-6,94,19,0.000559910414333707,1786,direct_pdf_route,https://link.springer.com/content/pdf/10.3758/s13428-023-02255-6.pdf?error=cookies_not_supported&code=83fb8d34-88fb-4a8c-8d8f-8659d7f84f1d,corpus/pdfs/cognitive_science_psychology/P0379.pdf,corpus/text/cognitive_science_psychology/P0379.txt,6adcaeabf0c32efbe038d2ddbe6884f69cc8bbbf6c3065edb3ca526f7616b27b,80522
P0380,Cognitive science / psychology,Behavior Research Methods,behavior_research_methods_openalex_cognitive_psychology_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,7,202606210101,behavior_research_methods_2022_v55_i3,2022,The taste & affect music database: Subjective rating norms for a new set of musical stimuli,10.3758/s13428-022-01862-z,94,12,0.000886524822695035,1128,direct_pdf_route,https://link.springer.com/content/pdf/10.3758/s13428-022-01862-z.pdf?error=cookies_not_supported&code=4acefcfe-748e-47c0-aa09-ff18152e65e6,corpus/pdfs/cognitive_science_psychology/P0380.pdf,corpus/text/cognitive_science_psychology/P0380.txt,908e3763dadc3d80958984582b928b7fad1fa98142ce74d2963a91282cc6e3a8,111665
P0381,Cognitive science / psychology,Behavior Research Methods,behavior_research_methods_openalex_cognitive_psychology_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,8,202606210101,behavior_research_methods_2019_v51_i3,2019,"Self-reported face recognition is highly valid, but alone is not highly discriminative of prosopagnosia-level performance on objective assessments",10.3758/s13428-018-01195-w,94,1,0.0106382978723404,94,direct_pdf_route,https://link.springer.com/content/pdf/10.3758/s13428-018-01195-w.pdf?error=cookies_not_supported&code=ac07acbd-b711-43b0-90c4-bfa04df284e4,corpus/pdfs/cognitive_science_psychology/P0381.pdf,corpus/text/cognitive_science_psychology/P0381.txt,87e99f38424d6db02c8870f2ecd092798a9da824f5351207012d8e817946a8cf,85206
P0382,Cognitive science / psychology,Behavior Research Methods,behavior_research_methods_openalex_cognitive_psychology_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,9,202606210101,behavior_research_methods_2020_v52_i6,2020,"Individual differences in visual attention: A short, reliable, open-source, and multilingual test of multiple object tracking in PsychoPy",10.3758/s13428-020-01413-4,94,6,0.00177304964539007,564,direct_pdf_route,https://link.springer.com/content/pdf/10.3758/s13428-020-01413-4.pdf?error=cookies_not_supported&code=a2fdd8a2-ef38-40f5-ab47-cd8da83efb39,corpus/pdfs/cognitive_science_psychology/P0382.pdf,corpus/text/cognitive_science_psychology/P0382.txt,11a80f07443b69c307c89629d7ffd2f699d5e4214b05c67ccbd8281e2d7b03c6,51548
P0383,Cognitive science / psychology,Behavior Research Methods,behavior_research_methods_openalex_cognitive_psychology_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,10,202606210101,behavior_research_methods_2017_v49_i6,2017,"Are multiple-trial experiments appropriate for eyewitness identification studies? Accuracy, choosing, and confidence across trials",10.3758/s13428-017-0855-0,94,5,0.00212765957446809,470,direct_pdf_route,https://link.springer.com/content/pdf/10.3758/s13428-017-0855-0.pdf?error=cookies_not_supported&code=45bde36c-1e57-4b7b-afb4-44111bb2688d,corpus/pdfs/cognitive_science_psychology/P0383.pdf,corpus/text/cognitive_science_psychology/P0383.txt,294048e6c45632a6c5f42cd9463ba5c062d4e47628bc8bc601126a078a937364,91388
