evidence_id,paper_id,judge_round_id,rubric_version,instrument,dimension,score,occasion_present,evidence_span,span_location,role_judgment,created_date
pme_blind_P0013_01,P0013,jr_v03_blind_P0013,v0.3-pilot,paradigm_marker,cp_risky_prediction,4,1,Hypotheses for the mechanism of DNA replication differ in the predictions they make concerning the distribution among progeny molecules of atoms derived from parental molecules.,paper.txt,Rival models commit to distinct falsifiable banding outcomes,2026-06-20
pme_blind_P0013_02,P0013,jr_v03_blind_P0013,v0.3-pilot,paradigm_marker,cp_rival_elimination,4,1,If the parental subunits had segregated in any other way ... there would have been found at the first generation some fully labeled and some unlabeled DNA molecules,paper.txt,Single intermediate band discriminates conservative/dispersive decisively,2026-06-20
pme_blind_P0013_03,P0013,jr_v03_blind_P0013,v0.3-pilot,paradigm_marker,cp_generative_structure,3,1,"each chain serves as a template for the synthesis of its complement. Accordingly, each daughter molecule contains one of the parental chains paired with a newly synthesized chain.",paper.txt,Reasons from two-strand template to the half-labeled distribution,2026-06-20
pme_blind_P0013_04,P0013,jr_v03_blind_P0013,v0.3-pilot,paradigm_marker,cp_counterfactual_intervention,2,1,This possibility was tested by a density-gradient examination of a mixture of heated N15 DNA and heated N14 DNA.,paper.txt,Enacted heat-denaturation manipulation to test a predicted differential,2026-06-20
pme_blind_P0013_05,P0013,jr_v03_blind_P0013,v0.3-pilot,paradigm_marker,cp_assumption_vulnerability,3,1,it has not been shown that the molecular subunits found in the present experiment are single polynucleotide chains,paper.txt,Names load-bearing assumption linking result to Watson-Crick model,2026-06-20
pme_blind_P0015_01,P0015,jr_v03_blind_P0015,v0.3-pilot,paradigm_marker,cp_risky_prediction,2,1,"The structure is not a vague one, but is precisely predicted; atomic coordinates for the principal atoms are given in table 1.",paper.txt,Precise prediction but authors concede not proved -> falsifiable not yet forced,2026-06-20
pme_blind_P0015_02,P0015,jr_v03_blind_P0015,v0.3-pilot,paradigm_marker,cp_rival_elimination,2,1,There are three possibilities as to the composition of the core ... We conclude that the core of the molecule is probably formed of the phosphate groups.,paper.txt,Named core alternatives eliminated by packing argument,2026-06-20
pme_blind_P0015_03,P0015,jr_v03_blind_P0015,v0.3-pilot,paradigm_marker,cp_generative_structure,4,1,"the cylindrical molecule is formed of three chains, which are coiled about one another ... each chain being a helix with fundamental translation equal to 3.4A",paper.txt,Posits explicit physical generator and reasons to x-ray consequences,2026-06-20
pme_blind_P0015_04,P0015,jr_v03_blind_P0015,v0.3-pilot,paradigm_marker,cp_assumption_vulnerability,2,1,This distortion of the phosphate group from the regular tetrahedral configuration is not supported by direct experimental evidence,paper.txt,Names load-bearing geometric assumption as an evidence gap,2026-06-20
pme_blind_P0015_05,P0015,jr_v03_blind_P0015,v0.3-pilot,paradigm_marker,si_terminal_certification,1,NA,similar agreement might be given by any cylindrical molecule with approximately the same diameter,paper.txt,Quantitative agreement explicitly downgraded as non-discriminating,2026-06-20
pme_blind_P0010_01,P0010,jr_v03_blind_P0010,v0.3-pilot,paradigm_marker,cp_generative_structure,1,0,immunostaining of intestinal tissue for the MKI67 protein ... confirmed that transient amplifying cells abundantly express this proliferation marker,paper.txt,"Generator named as a label, stays descriptive",2026-06-20
pme_blind_P0010_02,P0010,jr_v03_blind_P0010,v0.3-pilot,paradigm_marker,cp_assumption_vulnerability,1,0,not every cell type survives dissociation with equal efficiency,paper.txt,Names dissociation-bias assumption as a generic caveat,2026-06-20
pme_blind_P0010_03,P0010,jr_v03_blind_P0010,v0.3-pilot,paradigm_marker,si_terminal_certification,1,NA,"cross-validated with PopV, an annotation tool that uses seven different automated annotation methods",paper.txt,"QC/validation backgrounded housekeeping, not a terminal warrant",2026-06-20
pme_blind_P0010_04,P0010,jr_v03_blind_P0010,v0.3-pilot,paradigm_marker,si_association_framing,4,NA,a total of 475 distinct cell types with reference transcriptome profiles,paper.txt,Deliverable is a catalog of cell-type signatures,2026-06-20
pme_blind_P0010_05,P0010,jr_v03_blind_P0010,v0.3-pilot,paradigm_marker,si_accumulation_progress,4,NA,"a human reference atlas comprising nearly 500,000 cells from 24 different tissues and organs",paper.txt,Scale is the central value proposition,2026-06-20
pme_blind_P0014_01,P0014,jr_v03_blind_P0014,v0.3-pilot,paradigm_marker,cp_risky_prediction,1,0,These simulations demonstrated well-calibrated type 1 error at all settings,paper.txt,Warrant rests on refuting statistical nulls -> rhetorical,2026-06-20
pme_blind_P0014_02,P0014,jr_v03_blind_P0014,v0.3-pilot,paradigm_marker,cp_rival_elimination,2,1,We compared our method to four other methods ... stratified LD score regression was the most powerful,paper.txt,"Methods bake-off, not elimination of substantive rivals",2026-06-20
pme_blind_P0014_03,P0014,jr_v03_blind_P0014,v0.3-pilot,paradigm_marker,cp_generative_structure,1,0,LD to a category that is enriched for heritability will increase the chi2 statistic of a SNP more than LD to a category that does not,paper.txt,Generative model posited but functions as estimator premise,2026-06-20
pme_blind_P0014_04,P0014,jr_v03_blind_P0014,v0.3-pilot,paradigm_marker,cp_assumption_vulnerability,2,1,we cannot rule out bias due to model misspecification caused by enrichment in an unidentified functional category,paper.txt,Names model-misspecification assumption and invalidating condition,2026-06-20
pme_blind_P0014_05,P0014,jr_v03_blind_P0014,v0.3-pilot,paradigm_marker,si_terminal_certification,4,NA,"we use these standard errors to calculate z-scores, P-values, and FDRs ... passed an FDR threshold of 0.05",paper.txt,Contribution IS the certified enrichments; results terminate in P/FDR,2026-06-20
pme_blind_P0014_06,P0014,jr_v03_blind_P0014,v0.3-pilot,paradigm_marker,si_association_framing,4,NA,the enrichment of a category to be the proportion of SNP-heritability in the category divided by the proportion of SNPs,paper.txt,Deliverable is heritability enrichments/associations,2026-06-20
pme_blind_P0014_07,P0014,jr_v03_blind_P0014,v0.3-pilot,paradigm_marker,si_accumulation_progress,2,NA,It will likely become increasingly useful as functional data continues to grow,paper.txt,Future value framed via accumulation,2026-06-20
