paper_id,field,source,inventory_id,draw_idx,seed,unit_id,unit_year,title,doi,eligible_units,eligible_papers_in_unit,selection_probability,design_weight,pdf_url,pdf_path,text_path,pdf_sha256,text_chars
P0025,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,1,202606200101,plos_computational_biology_2019_v15_i2,2019,IRIS-EDA: An integrated RNA-Seq interpretation system for gene expression data analysis,10.1371/journal.pcbi.1006792,135,56,0.000132275132275,7560,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1006792&type=printable,corpus/pdfs/computational_biology/P0025.pdf,corpus/text/computational_biology/P0025.txt,6379453bceb63dddf78c7f3eb100f044eb48110eaad7529e1ca4dd2cbd999d77,42752
P0026,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2,202606200102,plos_computational_biology_2019_v15_i5,2019,Comprehensively benchmarking applications for detecting copy number variation,10.1371/journal.pcbi.1007069,135,59,0.000125549278092,7965,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1007069&type=printable,corpus/pdfs/computational_biology/P0026.pdf,corpus/text/computational_biology/P0026.txt,8d4ecd2a25a3244c50f36a838bc19cdfb067ec32c649e49b9550fa994d811b70,35578
P0027,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,3,202606200103,plos_computational_biology_2021_v17_i4,2021,Vessel network extraction and analysis of mouse pulmonary vasculature via X-ray micro-computed tomographic imaging,10.1371/journal.pcbi.1008930,135,48,0.000154320987654,6480,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1008930&type=printable,corpus/pdfs/computational_biology/P0027.pdf,corpus/text/computational_biology/P0027.txt,eb08fd53a18123413aa1121de0a51b6622d5d1372d0f7ec9317d590c9477c13f,76495
P0028,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,QC replacement,202606209101,plos_computational_biology_2016_v12_i4,2016,Molecular Infectious Disease Epidemiology: Survival Analysis and Algorithms Linking Phylogenies to Transmission Trees,10.1371/journal.pcbi.1004869,135,58,0.000127713920817,7830,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1004869&type=printable,corpus/pdfs/computational_biology/P0028.pdf,corpus/text/computational_biology/P0028.txt,118bd5394f8396d0e1f12c19f05de94d4f9da667d38f015fd20fbade264f9828,78920
P0029,ML / AI methods proper,NeurIPS,neurips_proceedings_v1.0.1_2015-2025_20260620,1,202606200201,neurips_2018,2018,Adding One Neuron Can Eliminate All Bad Local Minima,,11,1008,9.01875901876e-05,11088,https://proceedings.neurips.cc/paper_files/paper/2018/file/a012869311d64a44b5a0d567cd20de04-Paper.pdf,corpus/pdfs/ml_ai_methods/P0029.pdf,corpus/text/ml_ai_methods/P0029.txt,7ed407f020c29c63414e5f94e873326f38b52e64fe10f30608cdb21e7c633a0b,38854
P0030,ML / AI methods proper,NeurIPS,neurips_proceedings_v1.0.1_2015-2025_20260620,2,202606200202,neurips_2025,2025,MutualVPR: A Mutual Learning Framework for Resolving Supervision Inconsistencies via Adaptive Clustering,,11,5823,1.56120712535e-05,64053,https://proceedings.neurips.cc/paper_files/paper/2025/file/04388b6780bcf1a39ad0a91422f09a85-Paper-Conference.pdf,corpus/pdfs/ml_ai_methods/P0030.pdf,corpus/text/ml_ai_methods/P0030.txt,6829ce64e47cd4d559e27137a2e65396e9822165cea8c0d0e98e87fed15f3fed,73242
P0031,ML / AI methods proper,NeurIPS,neurips_proceedings_v1.0.1_2015-2025_20260620,3,202606200203,neurips_2020,2020,Using noise to probe recurrent neural network structure and prune synapses,,11,1898,4.78973081713e-05,20878,https://proceedings.neurips.cc/paper_files/paper/2020/file/a1ada9947e0d683b4625f94c74104d73-Paper.pdf,corpus/pdfs/ml_ai_methods/P0031.pdf,corpus/text/ml_ai_methods/P0031.txt,a70518d896cd82dda71820545fe539b68db287add6d99a64dae67a9f7781c882,45216
P0032,ML / AI methods proper,NeurIPS,neurips_proceedings_v1.0.1_2015-2025_20260620,4,202606200204,neurips_2015,2015,Streaming Min-max Hypergraph Partitioning,,11,403,0.000225580870742,4433,https://proceedings.neurips.cc/paper_files/paper/2015/file/83f97f4825290be4cb794ec6a234595f-Paper.pdf,corpus/pdfs/ml_ai_methods/P0032.pdf,corpus/text/ml_ai_methods/P0032.txt,b14e7fdbcdbb5e362ddccf17309774d52d5fb30db3e5a1b7ce4a949d16334495,33982
P0033,"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,1,202606200301,epj_c_2021_v81_i12,2021,Exploration of grid scheme for Frisch-grid ionization chamber,10.1140/epjc/s10052-021-09879-y,135,17,0.000435729847495,2295,https://link.springer.com/content/pdf/10.1140/epjc/s10052-021-09879-y.pdf,corpus/pdfs/particle_gravitational_physics/P0033.pdf,corpus/text/particle_gravitational_physics/P0033.txt,3fed1937b557e455a754be1327933d305358668e038902cc07cf6645f1ad5c67,32642
P0034,"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,2,202606200302,epj_c_2019_v79_i1,2019,Probing anomalous $$tq\gamma $$ t q γ and tqg couplings via single top production in association with photon at FCC-hh,10.1140/epjc/s10052-019-6593-y,135,26,0.0002849002849,3510,https://link.springer.com/content/pdf/10.1140/epjc/s10052-019-6593-y.pdf,corpus/pdfs/particle_gravitational_physics/P0034.pdf,corpus/text/particle_gravitational_physics/P0034.txt,94cd9cff952ed5f58390bd284b4dd3fd45429a699eb70aca0c11bd839648017d,33829
P0035,"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,3,202606200303,epj_c_2016_v76_i1,2016,Exclusive physics at the LHC with SuperChic 2,10.1140/epjc/s10052-015-3832-8,135,17,0.000435729847495,2295,https://link.springer.com/content/pdf/10.1140/epjc/s10052-015-3832-8.pdf,corpus/pdfs/particle_gravitational_physics/P0035.pdf,corpus/text/particle_gravitational_physics/P0035.txt,49d9a50764c35aad146d1c2b361d1c3d0eeb0cc58847bcd32460caa0e71c5eaa,100730
P0036,"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,4,202606200304,epj_c_2015_v75_i6,2015,Search for patterns by combining cosmic-ray energy and arrival directions at the Pierre Auger Observatory,10.1140/epjc/s10052-015-3471-0,135,14,0.000529100529101,1890,https://link.springer.com/content/pdf/10.1140/epjc/s10052-015-3471-0.pdf,corpus/pdfs/particle_gravitational_physics/P0036.pdf,corpus/text/particle_gravitational_physics/P0036.txt,212e1d0e209a0ca80c0d97dfe4c45a9a5c035cd8e8e7bd2af637d59d46e03f09,61762
P0037,"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,1,202606200401,jcap_2021_v2021_i11,2021,Axion-photon conversion in strongly magnetised plasmas,10.1088/1475-7516/2021/11/013,132,15,0.000505050505051,1980,https://arxiv.org/pdf/2107.07399,corpus/pdfs/statistical_physics/P0037.pdf,corpus/text/statistical_physics/P0037.txt,6f400838f0494d7defae6a76a250938cd1df8ca6c1e4fd2fcb768a06d8609623,75559
P0038,"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,2,202606200402,jcap_2018_v2018_i06,2018,Fate of the true-vacuum bubbles,10.1088/1475-7516/2018/06/033,132,34,0.000222816399287,4488,https://arxiv.org/pdf/1710.05334,corpus/pdfs/statistical_physics/P0038.pdf,corpus/text/statistical_physics/P0038.txt,6637f05d5a6bda44e08ede9685e5104a1043254b2f187b0a671ded4d918b5d11,26348
